['Corrida', 'Tiempo (seg)', 'Utilidad Relajada (US$)', 'Utilidad Final (US$)']
[1, 402.82623195648193, 5687.9721115189695, 'Total Utilidad: 5687.98']
[2, 256.6082389354706, 5642.60486151702, 'Total Utilidad: 5642.6']
[3, 359.028932094574, 5609.142445164929, 'Total Utilidad: 5609.14']
[4, 266.74567008018494, 5718.7012636671, 'Total Utilidad: 5718.7']
[5, 365.54416394233704, 5879.999811467491, 'Total Utilidad: 5880.01']
[6, 404.988792181015, 5927.98595930119, 'Total Utilidad: 5927.99']
[7, 355.799684047699, 5529.10807867023, 'Total Utilidad: 5529.11']
[8, 368.87671089172363, 5768.13916749368, 'Total Utilidad: 5768.14']
[9, 392.18503499031067, 5734.790128336899, 'Total Utilidad: 5734.78']
