['x[1, 1]', '=', 0.0, '/    Utilidad Ruta : ', 540.7871926796699]
['x[2, 1]', '=', 0.0, '/    Utilidad Ruta : ', 3366.3133798198905]
['x[3, 1]', '=', 0.0, '/    Utilidad Ruta : ', -229.13196348]
['x[4, 1]', '=', 0.0, '/    Utilidad Ruta : ', 2850.43689301144]
['x[5, 1]', '=', 0.0, '/    Utilidad Ruta : ', 651.26965129729]
['x[6, 1]', '=', 0.0, '/    Utilidad Ruta : ', 1388.02736569396]
['x[7, 1]', '=', 0.0, '/    Utilidad Ruta : ', 2411.8508758334606]
['x[8, 1]', '=', 0.0, '/    Utilidad Ruta : ', 1341.1391064961201]
['x[9, 1]', '=', 0.0, '/    Utilidad Ruta : ', 1181.3073632487499]
['x[10, 1]', '=', 0.0, '/    Utilidad Ruta : ', 2650.88046101663]
['x[11, 1]', '=', 0.0, '/    Utilidad Ruta : ', 1165.1051726594]
['x[12, 1]', '=', 0.0, '/    Utilidad Ruta : ', 365.067378123]
['x[13, 1]', '=', 0.0, '/    Utilidad Ruta : ', 834.34949914729]
['x[14, 1]', '=', 0.0, '/    Utilidad Ruta : ', 408.1914106351999]
['x[15, 1]', '=', 0.0, '/    Utilidad Ruta : ', -129.27595302023002]
['x[16, 1]', '=', 0.0, '/    Utilidad Ruta : ', 934.2914311848001]
['x[17, 1]', '=', 0.0, '/    Utilidad Ruta : ', 2166.7564261817106]
['x[18, 1]', '=', 0.0, '/    Utilidad Ruta : ', 1169.0742061332003]
['x[19, 1]', '=', 0.0, '/    Utilidad Ruta : ', 1373.11981697294]
['x[20, 1]', '=', 0.0, '/    Utilidad Ruta : ', 1787.3810474611205]
['x[21, 1]', '=', 0.0, '/    Utilidad Ruta : ', 700.4783931388602]
['x[22, 1]', '=', 0.0, '/    Utilidad Ruta : ', 344.05265440966014]
['x[23, 1]', '=', 0.0, '/    Utilidad Ruta : ', 1392.97304677506]
['x[24, 1]', '=', 0.0, '/    Utilidad Ruta : ', 733.1751821705001]
['x[25, 1]', '=', 0.0, '/    Utilidad Ruta : ', 850.8504187911499]
['x[26, 1]', '=', 0.0, '/    Utilidad Ruta : ', 1656.2050426407002]
['x[27, 1]', '=', 0.0, '/    Utilidad Ruta : ', 1185.5644317720003]
['x[28, 1]', '=', 0.0, '/    Utilidad Ruta : ', 737.3238001380099]
['x[29, 1]', '=', 0.7162849872773538, '/    Utilidad Ruta : ', 1134.74027776404]
['x[30, 1]', '=', 0.0, '/    Utilidad Ruta : ', -27.58772361109999]
['x[31, 1]', '=', 0.0, '/    Utilidad Ruta : ', 461.09512432759993]
['x[32, 1]', '=', 0.0, '/    Utilidad Ruta : ', 494.83123580179995]
['x[33, 1]', '=', 0.0, '/    Utilidad Ruta : ', 297.8869575460999]
['x[34, 1]', '=', 0.0, '/    Utilidad Ruta : ', 29.268804724380004]
['x[35, 1]', '=', 0.0, '/    Utilidad Ruta : ', 323.65672179234]
['x[36, 1]', '=', 0.0, '/    Utilidad Ruta : ', 161.38846112393003]
['x[37, 1]', '=', 0.0, '/    Utilidad Ruta : ', 1483.0156668041]
['x[38, 1]', '=', 0.0, '/    Utilidad Ruta : ', 887.8310015188898]
['x[39, 1]', '=', 0.2798982188295167, '/    Utilidad Ruta : ', 787.81930318779]
['x[40, 1]', '=', 0.0, '/    Utilidad Ruta : ', 1069.3726476783797]
['x[41, 1]', '=', 0.0, '/    Utilidad Ruta : ', 590.16897738911]
['x[42, 1]', '=', 0.0, '/    Utilidad Ruta : ', 1105.5245791832199]
['x[43, 1]', '=', 0.0, '/    Utilidad Ruta : ', 1161.31989258507]
['x[44, 1]', '=', 0.0, '/    Utilidad Ruta : ', 251.65313328548996]
['x[45, 1]', '=', 0.0, '/    Utilidad Ruta : ', 37.992610761740025]
['x[46, 1]', '=', 0.0, '/    Utilidad Ruta : ', 1312.40211570369]
['x[47, 1]', '=', 0.0, '/    Utilidad Ruta : ', 726.0026302898899]
['x[48, 1]', '=', 0.0038167938931295527, '/    Utilidad Ruta : ', 943.3562295541701]
['x[1, 2]', '=', 0.0, '/    Utilidad Ruta : ', 481.5842267375001]
['x[2, 2]', '=', 0.0, '/    Utilidad Ruta : ', 3368.6684116642996]
['x[3, 2]', '=', 0.0, '/    Utilidad Ruta : ', 3908.69785813807]
['x[4, 2]', '=', 0.0, '/    Utilidad Ruta : ', -377.8100186194]
['x[5, 2]', '=', 0.0, '/    Utilidad Ruta : ', 2897.8551794508403]
['x[6, 2]', '=', 0.0, '/    Utilidad Ruta : ', 1801.7438464559]
['x[7, 2]', '=', 0.0, '/    Utilidad Ruta : ', 1251.84383442312]
['x[8, 2]', '=', 0.0, '/    Utilidad Ruta : ', 805.9628427274201]
['x[9, 2]', '=', 0.0, '/    Utilidad Ruta : ', 1065.6629185806698]
['x[10, 2]', '=', 0.0, '/    Utilidad Ruta : ', 1114.32390064651]
['x[11, 2]', '=', 0.0, '/    Utilidad Ruta : ', 193.9468221054999]
['x[12, 2]', '=', 0.0, '/    Utilidad Ruta : ', -55.36092299708997]
['x[13, 2]', '=', 0.0, '/    Utilidad Ruta : ', 769.4587945962901]
['x[14, 2]', '=', 0.0, '/    Utilidad Ruta : ', 1452.2163009461701]
['x[15, 2]', '=', 0.0, '/    Utilidad Ruta : ', 864.89917039804]
['x[16, 2]', '=', 0.0, '/    Utilidad Ruta : ', 2327.31823506273]
['x[17, 2]', '=', 0.0, '/    Utilidad Ruta : ', 1917.3117396816601]
['x[18, 2]', '=', 0.0, '/    Utilidad Ruta : ', 1522.3910234004404]
['x[19, 2]', '=', 0.0, '/    Utilidad Ruta : ', 2173.46813673709]
['x[20, 2]', '=', 0.0, '/    Utilidad Ruta : ', 1028.47842628715]
['x[21, 2]', '=', 0.0, '/    Utilidad Ruta : ', 906.8749020861701]
['x[22, 2]', '=', 0.0, '/    Utilidad Ruta : ', 716.8814732846702]
['x[23, 2]', '=', 0.0, '/    Utilidad Ruta : ', 954.45991183037]
['x[24, 2]', '=', 0.0, '/    Utilidad Ruta : ', 1004.35462397745]
['x[25, 2]', '=', 0.0, '/    Utilidad Ruta : ', 454.4053824331901]
['x[26, 2]', '=', 0.0, '/    Utilidad Ruta : ', 1121.8806722288]
['x[27, 2]', '=', 0.0, '/    Utilidad Ruta : ', 1280.06580742227]
