['x[1, 1]', '=', 0.0, '/    Utilidad Ruta : ', 914.1851483475898]
['x[2, 1]', '=', 0.0, '/    Utilidad Ruta : ', 3553.001102079681]
['x[3, 1]', '=', 0.0, '/    Utilidad Ruta : ', -229.13196348]
['x[4, 1]', '=', 0.0, '/    Utilidad Ruta : ', 1264.2809614098999]
['x[5, 1]', '=', 0.0, '/    Utilidad Ruta : ', 1963.34910538624]
['x[6, 1]', '=', 0.0, '/    Utilidad Ruta : ', 2052.18013199617]
['x[7, 1]', '=', 0.0, '/    Utilidad Ruta : ', 550.5140848487]
['x[8, 1]', '=', 0.0, '/    Utilidad Ruta : ', 1022.3330709216998]
['x[9, 1]', '=', 0.0, '/    Utilidad Ruta : ', 330.2264812010999]
['x[10, 1]', '=', 0.0, '/    Utilidad Ruta : ', 1433.13363766581]
['x[11, 1]', '=', 0.0, '/    Utilidad Ruta : ', -157.68673351673]
['x[12, 1]', '=', 0.0, '/    Utilidad Ruta : ', -66.8144604416]
['x[13, 1]', '=', 0.0, '/    Utilidad Ruta : ', 1190.48715034249]
['x[14, 1]', '=', 0.0, '/    Utilidad Ruta : ', 410.04036810029993]
['x[15, 1]', '=', 0.0, '/    Utilidad Ruta : ', 541.7459049594402]
['x[16, 1]', '=', 0.0, '/    Utilidad Ruta : ', 1676.8393805685898]
['x[17, 1]', '=', 0.0, '/    Utilidad Ruta : ', 175.75267795945996]
['x[18, 1]', '=', 0.0, '/    Utilidad Ruta : ', 116.36887398105]
['x[19, 1]', '=', 0.0, '/    Utilidad Ruta : ', 975.2615958727799]
['x[20, 1]', '=', 0.0, '/    Utilidad Ruta : ', 307.1022082706999]
['x[21, 1]', '=', 0.0, '/    Utilidad Ruta : ', 757.84320929521]
['x[22, 1]', '=', 0.0, '/    Utilidad Ruta : ', 822.0906883637501]
['x[23, 1]', '=', 0.0, '/    Utilidad Ruta : ', 712.5355258173101]
['x[24, 1]', '=', 0.0, '/    Utilidad Ruta : ', -4.028342904700025]
['x[25, 1]', '=', 0.0, '/    Utilidad Ruta : ', 251.65313328548996]
['x[26, 1]', '=', 0.0, '/    Utilidad Ruta : ', 149.68569062116]
['x[27, 1]', '=', 0.0, '/    Utilidad Ruta : ', 30.48898317209995]
['x[28, 1]', '=', 0.0, '/    Utilidad Ruta : ', 1582.1762501714097]
['x[29, 1]', '=', 0.0, '/    Utilidad Ruta : ', 872.4459024924099]
['x[30, 1]', '=', 0.0, '/    Utilidad Ruta : ', 662.9309625791599]
['x[31, 1]', '=', 0.0, '/    Utilidad Ruta : ', 2286.3800332763203]
['x[32, 1]', '=', 0.0, '/    Utilidad Ruta : ', 913.73079604443]
['x[33, 1]', '=', 0.0, '/    Utilidad Ruta : ', 770.5607005995001]
['x[34, 1]', '=', 0.6615535097813574, '/    Utilidad Ruta : ', 766.8379981774001]
['x[35, 1]', '=', 0.0, '/    Utilidad Ruta : ', 717.39067033398]
['x[36, 1]', '=', 0.01318757192175016, '/    Utilidad Ruta : ', 1025.6492580795502]
['x[37, 1]', '=', 0.0, '/    Utilidad Ruta : ', 816.15305891261]
['x[38, 1]', '=', 0.0, '/    Utilidad Ruta : ', 1250.4811324150799]
['x[39, 1]', '=', 0.0, '/    Utilidad Ruta : ', 1336.3157318478002]
['x[40, 1]', '=', 0.0, '/    Utilidad Ruta : ', -29.047721528599993]
['x[41, 1]', '=', 0.0, '/    Utilidad Ruta : ', -97.44329147209999]
['x[42, 1]', '=', 0.0, '/    Utilidad Ruta : ', 591.2219653078998]
['x[43, 1]', '=', 0.0, '/    Utilidad Ruta : ', 1151.9870277385398]
['x[44, 1]', '=', 0.0, '/    Utilidad Ruta : ', 1027.66483254989]
['x[45, 1]', '=', 0.1791829689298045, '/    Utilidad Ruta : ', 1748.48255896671]
['x[46, 1]', '=', 0.0, '/    Utilidad Ruta : ', 1551.54522945896]
['x[47, 1]', '=', 0.0, '/    Utilidad Ruta : ', 805.1657822246999]
['x[48, 1]', '=', 0.0, '/    Utilidad Ruta : ', 1197.92344972391]
['x[49, 1]', '=', 0.146075949367088, '/    Utilidad Ruta : ', 1190.4432559665]
['x[50, 1]', '=', 0.0, '/    Utilidad Ruta : ', 677.3830245754699]
['x[1, 2]', '=', 0.0, '/    Utilidad Ruta : ', 729.98395127383]
