['x[1, 1]', '=', 1.0, '/    Utilidad Ruta : ', 54913.1391340734]
['x[2, 1]', '=', 0.0, '/    Utilidad Ruta : ', 192600.91284413516]
['x[3, 1]', '=', 0.0, '/    Utilidad Ruta : ', 192624.10849752935]
['x[4, 1]', '=', 0.0, '/    Utilidad Ruta : ', -45.2745870439]
['x[5, 1]', '=', 0.0, '/    Utilidad Ruta : ', 147014.6168819383]
['x[1, 2]', '=', 1.0, '/    Utilidad Ruta : ', 60991.62812430668]
['x[2, 2]', '=', 0.0, '/    Utilidad Ruta : ', 174586.05480530104]
['x[3, 2]', '=', 0.0, '/    Utilidad Ruta : ', 178201.05783667785]
['x[4, 2]', '=', 0.0, '/    Utilidad Ruta : ', -25.0518701298]
['x[5, 2]', '=', 0.0, '/    Utilidad Ruta : ', 156670.04283654052]
['x[6, 2]', '=', 0.0, '/    Utilidad Ruta : ', 109909.52499475166]
['x[1, 3]', '=', 1.0, '/    Utilidad Ruta : ', 45412.28656956603]
['x[2, 3]', '=', 0.0, '/    Utilidad Ruta : ', 185442.7555793377]
['x[3, 3]', '=', 0.0, '/    Utilidad Ruta : ', -2.24014753978]
['x[4, 3]', '=', 0.0, '/    Utilidad Ruta : ', 151889.19623801616]
['x[1, 4]', '=', 1.0, '/    Utilidad Ruta : ', 64440.72468114007]
['x[2, 4]', '=', 0.0, '/    Utilidad Ruta : ', 150623.1451583939]
['x[3, 4]', '=', 0.0, '/    Utilidad Ruta : ', 161436.83254948354]
['x[4, 4]', '=', 0.0, '/    Utilidad Ruta : ', -30.4930744432]
['x[5, 4]', '=', 0.0, '/    Utilidad Ruta : ', 121908.08044936524]
['x[6, 4]', '=', 0.0, '/    Utilidad Ruta : ', 151809.44927833992]
['x[1, 5]', '=', 1.0, '/    Utilidad Ruta : ', 47782.23939247041]
['x[2, 5]', '=', 0.0, '/    Utilidad Ruta : ', 173377.44954768274]
['x[3, 5]', '=', 0.0, '/    Utilidad Ruta : ', 180565.99896930883]
['x[4, 5]', '=', 0.0, '/    Utilidad Ruta : ', -29.8612857225]
['x[5, 5]', '=', 0.0, '/    Utilidad Ruta : ', 167418.870041827]
['x[6, 5]', '=', 0.0, '/    Utilidad Ruta : ', 168601.09255792113]
['x[1, 6]', '=', 1.0, '/    Utilidad Ruta : ', 47809.57782839156]
['x[2, 6]', '=', 0.0, '/    Utilidad Ruta : ', 185378.89961050396]
['x[3, 6]', '=', 0.0, '/    Utilidad Ruta : ', 190157.84057744505]
['x[4, 6]', '=', 0.0, '/    Utilidad Ruta : ', -31.602986014]
['x[5, 6]', '=', 0.0, '/    Utilidad Ruta : ', 47787.1801420681]
['x[6, 6]', '=', 0.0, '/    Utilidad Ruta : ', 166157.18135524084]
['x[1, 7]', '=', 1.0, '/    Utilidad Ruta : ', 82522.2592049539]
['x[2, 7]', '=', 0.0, '/    Utilidad Ruta : ', 144731.8108694005]
['x[3, 7]', '=', 0.0, '/    Utilidad Ruta : ', 144739.13769750434]
['x[4, 7]', '=', 0.0, '/    Utilidad Ruta : ', -13.0279050119]
['x[5, 7]', '=', 0.0, '/    Utilidad Ruta : ', 138711.66146150185]
['x[6, 7]', '=', 0.0, '/    Utilidad Ruta : ', 130383.35824259056]
