['x[1, 1]', '=', 0.0, '/    Utilidad Ruta : ', 64518.21797744741]
['x[2, 1]', '=', 0.0, '/    Utilidad Ruta : ', 177045.12301656214]
['x[3, 1]', '=', 0.0, '/    Utilidad Ruta : ', 177055.61753400418]
['x[4, 1]', '=', 0.0, '/    Utilidad Ruta : ', -45.2745870439]
['x[5, 1]', '=', 0.0, '/    Utilidad Ruta : ', 60888.1975495582]
['x[6, 1]', '=', 0.0, '/    Utilidad Ruta : ', 60923.66394781332]
['x[7, 1]', '=', 0.0, '/    Utilidad Ruta : ', 68113.14367362362]
['x[8, 1]', '=', 0.0, '/    Utilidad Ruta : ', 31058.47961641876]
['x[9, 1]', '=', 0.0, '/    Utilidad Ruta : ', 65682.63860162073]
['x[10, 1]', '=', 0.0, '/    Utilidad Ruta : ', 127895.93735791519]
['x[11, 1]', '=', 0.0, '/    Utilidad Ruta : ', 10693.8957440012]
['x[12, 1]', '=', 0.0, '/    Utilidad Ruta : ', 11898.7427376329]
['x[13, 1]', '=', 0.0, '/    Utilidad Ruta : ', 78819.68087425429]
['x[14, 1]', '=', 0.0, '/    Utilidad Ruta : ', 7140.2583877141]
['x[15, 1]', '=', 0.0, '/    Utilidad Ruta : ', 137536.90625050128]
['x[16, 1]', '=', 0.0, '/    Utilidad Ruta : ', 75292.1859927476]
['x[17, 1]', '=', 0.0, '/    Utilidad Ruta : ', 133946.68734923334]
['x[18, 1]', '=', 0.0, '/    Utilidad Ruta : ', 9530.436772621]
['x[19, 1]', '=', 0.0, '/    Utilidad Ruta : ', 14293.47346153434]
['x[20, 1]', '=', 0.0, '/    Utilidad Ruta : ', 40639.57197984997]
['x[21, 1]', '=', 0.0, '/    Utilidad Ruta : ', 69309.8918218037]
['x[22, 1]', '=', 0.0, '/    Utilidad Ruta : ', 93302.13363212283]
['x[23, 1]', '=', 0.0, '/    Utilidad Ruta : ', 39400.09804885575]
['x[24, 1]', '=', 0.0, '/    Utilidad Ruta : ', 60989.48747138029]
['x[25, 1]', '=', 0.0, '/    Utilidad Ruta : ', 57392.36465641856]
['x[26, 1]', '=', 0.0, '/    Utilidad Ruta : ', 11941.4124581883]
['x[27, 1]', '=', 0.0, '/    Utilidad Ruta : ', 13121.2581445403]
['x[28, 1]', '=', 0.0, '/    Utilidad Ruta : ', 35879.85909118346]
['x[29, 1]', '=', 0.0, '/    Utilidad Ruta : ', 54985.62064183866]
['x[30, 1]', '=', 0.0, '/    Utilidad Ruta : ', 16694.4104065086]
['x[31, 1]', '=', 0.0, '/    Utilidad Ruta : ', 94522.41174474324]
['x[32, 1]', '=', 0.0, '/    Utilidad Ruta : ', 38258.31860288201]
['x[33, 1]', '=', 0.0, '/    Utilidad Ruta : ', 69365.6637909248]
['x[34, 1]', '=', 0.0, '/    Utilidad Ruta : ', 54992.10761846146]
['x[35, 1]', '=', 0.0, '/    Utilidad Ruta : ', 31090.950718079803]
['x[36, 1]', '=', 0.0, '/    Utilidad Ruta : ', 71746.18377679317]
['x[37, 1]', '=', 0.27698063581746407, '/    Utilidad Ruta : ', 27471.84819723154]
['x[38, 1]', '=', 0.06616487953371449, '/    Utilidad Ruta : ', 31050.95019989954]
['x[39, 1]', '=', 0.0, '/    Utilidad Ruta : ', 76573.70613321364]
['x[40, 1]', '=', 0.0, '/    Utilidad Ruta : ', 21536.4773426638]
['x[41, 1]', '=', 0.0, '/    Utilidad Ruta : ', 54961.6529190466]
['x[42, 1]', '=', 0.1746650099272605, '/    Utilidad Ruta : ', 61008.61499974077]
['x[43, 1]', '=', 0.0, '/    Utilidad Ruta : ', 51447.35714437622]
['x[44, 1]', '=', 0.23625598070586776, '/    Utilidad Ruta : ', 31082.2779035681]
['x[45, 1]', '=', 0.0, '/    Utilidad Ruta : ', 52619.14304098967]
['x[46, 1]', '=', 0.0, '/    Utilidad Ruta : ', 29891.20670733962]
['x[47, 1]', '=', 0.0, '/    Utilidad Ruta : ', 55049.302670431]
['x[48, 1]', '=', 0.1801124967906861, '/    Utilidad Ruta : ', 53814.38884862746]
['x[49, 1]', '=', 0.004673542719489594, '/    Utilidad Ruta : ', 32249.0082956796]
['x[50, 1]', '=', 0.06114745450551714, '/    Utilidad Ruta : ', 21489.72365698782]
['x[1, 2]', '=', 0.0, '/    Utilidad Ruta : ', 50135.0404411293]
['x[2, 2]', '=', 0.0, '/    Utilidad Ruta : ', 165041.95758309777]
['x[3, 2]', '=', 0.0, '/    Utilidad Ruta : ', 175874.93704259003]
['x[4, 2]', '=', 0.0, '/    Utilidad Ruta : ', -25.0518701298]
['x[5, 2]', '=', 0.0, '/    Utilidad Ruta : ', 151862.30732664387]
['x[6, 2]', '=', 0.0, '/    Utilidad Ruta : ', 147045.74530719698]
['x[7, 2]', '=', 0.0, '/    Utilidad Ruta : ', 141087.52199318892]
['x[8, 2]', '=', 0.0, '/    Utilidad Ruta : ', 161432.28434452083]
['x[9, 2]', '=', 0.0, '/    Utilidad Ruta : ', 29908.11551180365]
['x[10, 2]', '=', 0.0, '/    Utilidad Ruta : ', 13151.09952113994]
['x[11, 2]', '=', 0.0, '/    Utilidad Ruta : ', 94381.3305124033]
['x[12, 2]', '=', 0.0, '/    Utilidad Ruta : ', 135024.21109175208]
['x[13, 2]', '=', 0.0, '/    Utilidad Ruta : ', 121892.93740508823]
['x[14, 2]', '=', 0.0, '/    Utilidad Ruta : ', 138668.1316292899]
['x[15, 2]', '=', 0.0, '/    Utilidad Ruta : ', 76432.32949758385]
['x[16, 2]', '=', 0.0, '/    Utilidad Ruta : ', 119609.680258574]
['x[17, 2]', '=', 0.0, '/    Utilidad Ruta : ', 151916.5114848592]
['x[18, 2]', '=', 0.0, '/    Utilidad Ruta : ', 108780.48621636874]
['x[19, 2]', '=', 0.0, '/    Utilidad Ruta : ', 84959.55881114543]
['x[20, 2]', '=', 0.0, '/    Utilidad Ruta : ', 100409.63584377732]
['x[21, 2]', '=', 0.0, '/    Utilidad Ruta : ', 110043.99360558916]
['x[22, 2]', '=', 0.0, '/    Utilidad Ruta : ', 42996.11936373843]
['x[23, 2]', '=', 0.0, '/    Utilidad Ruta : ', 69346.25931452615]
['x[24, 2]', '=', 0.0, '/    Utilidad Ruta : ', 52588.60356100146]
