['x[1, 1]', '=', 0.0, '/    Utilidad Ruta : ', 891.1245891752801]
['x[2, 1]', '=', 0.0, '/    Utilidad Ruta : ', 3101.5398760096004]
['x[3, 1]', '=', 0.0, '/    Utilidad Ruta : ', 3449.2795388946906]
['x[4, 1]', '=', 0.0, '/    Utilidad Ruta : ', -229.13196348]
['x[5, 1]', '=', 0.0, '/    Utilidad Ruta : ', 2593.4090096924797]
['x[6, 1]', '=', 0.0, '/    Utilidad Ruta : ', 964.7483794963]
['x[7, 1]', '=', 0.0, '/    Utilidad Ruta : ', 365.067378123]
['x[8, 1]', '=', 0.0, '/    Utilidad Ruta : ', 961.7149374640599]
['x[9, 1]', '=', 0.0, '/    Utilidad Ruta : ', 2082.62569571559]
['x[10, 1]', '=', 0.0, '/    Utilidad Ruta : ', -79.2258701792]
['x[11, 1]', '=', 0.0, '/    Utilidad Ruta : ', 1031.32870125021]
['x[12, 1]', '=', 0.0, '/    Utilidad Ruta : ', 1508.2186676991998]
['x[13, 1]', '=', 0.0, '/    Utilidad Ruta : ', 1189.1665850097902]
['x[14, 1]', '=', 0.0, '/    Utilidad Ruta : ', 1668.2984687419796]
['x[15, 1]', '=', 0.0, '/    Utilidad Ruta : ', 1762.7519172639095]
['x[16, 1]', '=', 0.0, '/    Utilidad Ruta : ', 1284.4651692192401]
['x[17, 1]', '=', 0.0, '/    Utilidad Ruta : ', 1235.5946322173697]
['x[18, 1]', '=', 0.0, '/    Utilidad Ruta : ', 365.27290258386006]
['x[19, 1]', '=', 0.0, '/    Utilidad Ruta : ', 773.08240780408]
['x[20, 1]', '=', 0.0, '/    Utilidad Ruta : ', 284.6402664178]
['x[21, 1]', '=', 0.0, '/    Utilidad Ruta : ', 178.01187672669994]
['x[22, 1]', '=', 0.0, '/    Utilidad Ruta : ', 2536.8102266892197]
['x[23, 1]', '=', 0.0, '/    Utilidad Ruta : ', 70.38731272799004]
['x[24, 1]', '=', 0.0, '/    Utilidad Ruta : ', 149.68569062116]
['x[25, 1]', '=', 0.0, '/    Utilidad Ruta : ', 556.6029278654701]
['x[26, 1]', '=', 0.0, '/    Utilidad Ruta : ', 671.46104898319]
['x[27, 1]', '=', 0.0, '/    Utilidad Ruta : ', 1046.6352447143001]
['x[28, 1]', '=', 0.0, '/    Utilidad Ruta : ', 657.03578705705]
['x[29, 1]', '=', 0.0, '/    Utilidad Ruta : ', 602.1929170875501]
['x[30, 1]', '=', 0.0, '/    Utilidad Ruta : ', 1575.95711687941]
['x[31, 1]', '=', 0.0, '/    Utilidad Ruta : ', 178.72517758766998]
['x[32, 1]', '=', 0.04719595258952035, '/    Utilidad Ruta : ', 1283.6690861062898]
['x[33, 1]', '=', 0.0, '/    Utilidad Ruta : ', 712.5355258173101]
['x[34, 1]', '=', 0.0, '/    Utilidad Ruta : ', 1477.9335111448902]
['x[35, 1]', '=', 0.0, '/    Utilidad Ruta : ', 460.1450746521999]
['x[36, 1]', '=', 0.0, '/    Utilidad Ruta : ', 1503.03271256953]
['x[37, 1]', '=', 0.0, '/    Utilidad Ruta : ', 1540.24112094411]
['x[38, 1]', '=', 0.6681266424727818, '/    Utilidad Ruta : ', 766.8379981774001]
['x[39, 1]', '=', 0.0, '/    Utilidad Ruta : ', 1517.5946604484097]
['x[40, 1]', '=', 0.0, '/    Utilidad Ruta : ', 670.4330966548398]
['x[41, 1]', '=', 0.0, '/    Utilidad Ruta : ', 868.8808752663399]
['x[42, 1]', '=', 0.0, '/    Utilidad Ruta : ', 815.1943772067101]
['x[43, 1]', '=', 0.0, '/    Utilidad Ruta : ', 991.42026287813]
['x[44, 1]', '=', 0.0, '/    Utilidad Ruta : ', 1089.0890169012]
['x[45, 1]', '=', 0.0, '/    Utilidad Ruta : ', 842.5562061197002]
['x[46, 1]', '=', 0.0, '/    Utilidad Ruta : ', 418.73070222600006]
['x[47, 1]', '=', 0.0, '/    Utilidad Ruta : ', 859.0958573700002]
['x[48, 1]', '=', 0.0, '/    Utilidad Ruta : ', 563.4134207113001]
['x[49, 1]', '=', 0.11847256735255735, '/    Utilidad Ruta : ', 1190.4432559665]
['x[50, 1]', '=', 0.0, '/    Utilidad Ruta : ', 1089.38292872143]
['x[51, 1]', '=', 0.11364570856499277, '/    Utilidad Ruta : ', 1691.0882284033598]
['x[52, 1]', '=', 0.0, '/    Utilidad Ruta : ', 1461.96850106116]
['x[53, 1]', '=', 0.0, '/    Utilidad Ruta : ', 1111.8642193098299]
['x[54, 1]', '=', 0.0, '/    Utilidad Ruta : ', 1124.97805296693]
['x[55, 1]', '=', 0.0, '/    Utilidad Ruta : ', 1726.3449386559098]
['x[56, 1]', '=', 0.0, '/    Utilidad Ruta : ', 1242.5516039641598]
['x[57, 1]', '=', 0.0, '/    Utilidad Ruta : ', 1808.56414667288]
['x[58, 1]', '=', 0.05255912902014766, '/    Utilidad Ruta : ', 1655.0516952802598]
['x[1, 2]', '=', 0.0, '/    Utilidad Ruta : ', 387.9849599260699]
['x[2, 2]', '=', 0.0, '/    Utilidad Ruta : ', 3867.66991985662]
['x[3, 2]', '=', 0.0, '/    Utilidad Ruta : ', -377.8100186194]
['x[4, 2]', '=', 0.0, '/    Utilidad Ruta : ', 3214.9724536929607]
['x[5, 2]', '=', 0.0, '/    Utilidad Ruta : ', 2870.4990313007997]
['x[6, 2]', '=', 0.0, '/    Utilidad Ruta : ', 2436.51102716158]
['x[7, 2]', '=', 0.0, '/    Utilidad Ruta : ', 2026.0526041724697]
['x[8, 2]', '=', 0.0, '/    Utilidad Ruta : ', 1599.52421921054]
['x[9, 2]', '=', 0.0, '/    Utilidad Ruta : ', 1933.4943958848103]
['x[10, 2]', '=', 0.0, '/    Utilidad Ruta : ', 1307.4824859526102]
['x[11, 2]', '=', 0.0, '/    Utilidad Ruta : ', 1960.8212796326598]
['x[12, 2]', '=', 0.0, '/    Utilidad Ruta : ', 1975.7698862789302]
['x[13, 2]', '=', 0.0, '/    Utilidad Ruta : ', 1043.6676457508402]
['x[14, 2]', '=', 0.0, '/    Utilidad Ruta : ', 1914.99904027316]
['x[15, 2]', '=', 0.0, '/    Utilidad Ruta : ', 2138.8204189943]
['x[16, 2]', '=', 0.0, '/    Utilidad Ruta : ', 1474.19312250069]
['x[17, 2]', '=', 0.0, '/    Utilidad Ruta : ', 1922.84739582762]
['x[18, 2]', '=', 0.0, '/    Utilidad Ruta : ', 2031.5798120570798]
['x[19, 2]', '=', 0.0, '/    Utilidad Ruta : ', 546.3661483576001]
['x[20, 2]', '=', 0.0, '/    Utilidad Ruta : ', 919.3328759409801]
['x[21, 2]', '=', 0.0, '/    Utilidad Ruta : ', 1464.4339862228599]
['x[22, 2]', '=', 0.0, '/    Utilidad Ruta : ', 1306.0261473814298]
['x[23, 2]', '=', 0.0, '/    Utilidad Ruta : ', 2017.2968152335598]
['x[24, 2]', '=', 0.0, '/    Utilidad Ruta : ', 486.21134131123995]
['x[25, 2]', '=', 0.0, '/    Utilidad Ruta : ', 946.0355329214999]
['x[26, 2]', '=', 0.0, '/    Utilidad Ruta : ', 1766.78206979949]
['x[27, 2]', '=', 0.0, '/    Utilidad Ruta : ', 1074.8753404805798]
['x[28, 2]', '=', 0.0, '/    Utilidad Ruta : ', 1827.4699404237203]
['x[29, 2]', '=', 0.0, '/    Utilidad Ruta : ', 1786.52015812119]
['x[30, 2]', '=', 0.0, '/    Utilidad Ruta : ', 2071.57460215441]
['x[31, 2]', '=', 0.0, '/    Utilidad Ruta : ', 1386.02075002007]
['x[32, 2]', '=', 0.0, '/    Utilidad Ruta : ', 2017.4652847830698]
['x[33, 2]', '=', 0.0, '/    Utilidad Ruta : ', 1321.09540260525]
['x[34, 2]', '=', 0.0, '/    Utilidad Ruta : ', 1126.12901616511]
['x[35, 2]', '=', 0.0, '/    Utilidad Ruta : ', 1523.5023772404802]
['x[36, 2]', '=', 0.0, '/    Utilidad Ruta : ', 1450.6728517563101]
['x[37, 2]', '=', 0.0, '/    Utilidad Ruta : ', 616.5901335220598]
['x[38, 2]', '=', 0.0, '/    Utilidad Ruta : ', 678.33107238462]
['x[39, 2]', '=', 0.0, '/    Utilidad Ruta : ', 1856.39640931538]
['x[40, 2]', '=', 0.0, '/    Utilidad Ruta : ', 2301.23754077223]
['x[41, 2]', '=', 0.0, '/    Utilidad Ruta : ', 1856.5761147552998]
['x[42, 2]', '=', 0.0, '/    Utilidad Ruta : ', 1186.3707501640902]
['x[43, 2]', '=', 0.0, '/    Utilidad Ruta : ', 1059.7350783077]
['x[44, 2]', '=', 0.0, '/    Utilidad Ruta : ', 2575.5606975585697]
['x[45, 2]', '=', 0.0, '/    Utilidad Ruta : ', 2313.84738143147]
['x[46, 2]', '=', 0.7255126302804938, '/    Utilidad Ruta : ', 1128.37631850669]
['x[47, 2]', '=', 0.0, '/    Utilidad Ruta : ', 2683.4710966312305]
['x[48, 2]', '=', 0.0, '/    Utilidad Ruta : ', 2637.83399850749]
['x[49, 2]', '=', 0.0, '/    Utilidad Ruta : ', 1260.93345232406]
['x[50, 2]', '=', 0.0, '/    Utilidad Ruta : ', 2199.0823077380696]
['x[51, 2]', '=', 0.0, '/    Utilidad Ruta : ', 2108.12897485346]
['x[52, 2]', '=', 0.0, '/    Utilidad Ruta : ', 1825.9147434992005]
['x[53, 2]', '=', 0.0, '/    Utilidad Ruta : ', 2701.90287540601]
['x[54, 2]', '=', 0.0, '/    Utilidad Ruta : ', 1408.77855037029]
['x[55, 2]', '=', 0.0, '/    Utilidad Ruta : ', 1985.17755491873]
['x[56, 2]', '=', 0.0, '/    Utilidad Ruta : ', 1440.0474239814503]
['x[57, 2]', '=', 0.0, '/    Utilidad Ruta : ', 2226.80239400382]
['x[58, 2]', '=', 0.0, '/    Utilidad Ruta : ', 1569.43901677259]
['x[59, 2]', '=', 0.0, '/    Utilidad Ruta : ', 2359.53093958087]
['x[60, 2]', '=', 0.0, '/    Utilidad Ruta : ', 2394.0221794177496]
['x[61, 2]', '=', 0.0, '/    Utilidad Ruta : ', 1890.5091134027698]
['x[62, 2]', '=', 0.0, '/    Utilidad Ruta : ', 3060.84699636926]
