['x[1, 1]', '=', 0.0, '/    Utilidad Ruta : ', 1017.32676363788]
['x[2, 1]', '=', 0.0, '/    Utilidad Ruta : ', 3937.1072348894504]
['x[3, 1]', '=', 0.0, '/    Utilidad Ruta : ', -229.13196348]
['x[4, 1]', '=', 0.0, '/    Utilidad Ruta : ', 966.6417645886199]
['x[5, 1]', '=', 0.0, '/    Utilidad Ruta : ', 1950.0902962886498]
['x[6, 1]', '=', 0.0, '/    Utilidad Ruta : ', 1836.7042947816099]
['x[7, 1]', '=', 0.0, '/    Utilidad Ruta : ', 3160.4766418572503]
['x[8, 1]', '=', 0.0, '/    Utilidad Ruta : ', 2813.43611169372]
['x[9, 1]', '=', 0.0, '/    Utilidad Ruta : ', 2801.30228467715]
['x[10, 1]', '=', 0.0, '/    Utilidad Ruta : ', 954.34936861403]
['x[11, 1]', '=', 0.0, '/    Utilidad Ruta : ', 2433.9204517111402]
['x[12, 1]', '=', 0.0, '/    Utilidad Ruta : ', 1609.22490693108]
['x[13, 1]', '=', 0.0, '/    Utilidad Ruta : ', 1703.0762204734199]
['x[14, 1]', '=', 0.0, '/    Utilidad Ruta : ', 1643.86515262053]
['x[15, 1]', '=', 0.0, '/    Utilidad Ruta : ', 1922.7094631720802]
['x[16, 1]', '=', 0.0, '/    Utilidad Ruta : ', 1411.13308066942]
['x[17, 1]', '=', 0.0, '/    Utilidad Ruta : ', 1681.54140221077]
['x[18, 1]', '=', 0.0, '/    Utilidad Ruta : ', 1715.5997326956701]
['x[19, 1]', '=', 0.0, '/    Utilidad Ruta : ', 1732.16750287093]
['x[20, 1]', '=', 0.0, '/    Utilidad Ruta : ', 1986.6953617012205]
['x[21, 1]', '=', 0.0, '/    Utilidad Ruta : ', 1557.55622280674]
['x[22, 1]', '=', 0.0, '/    Utilidad Ruta : ', 2187.292099098689]
['x[23, 1]', '=', 0.0, '/    Utilidad Ruta : ', 1297.6918781428599]
['x[24, 1]', '=', 0.0, '/    Utilidad Ruta : ', 3005.23653443305]
['x[25, 1]', '=', 0.0, '/    Utilidad Ruta : ', 3063.323913595559]
['x[26, 1]', '=', 0.6999999999999996, '/    Utilidad Ruta : ', 1134.74027776404]
['x[27, 1]', '=', 0.0, '/    Utilidad Ruta : ', 488.08946842757996]
['x[28, 1]', '=', 0.0, '/    Utilidad Ruta : ', 918.6159909662101]
['x[29, 1]', '=', 0.0, '/    Utilidad Ruta : ', 2560.00597451549]
['x[30, 1]', '=', 0.0, '/    Utilidad Ruta : ', 1558.7997793658699]
['x[31, 1]', '=', 0.0, '/    Utilidad Ruta : ', 1425.70650589514]
['x[32, 1]', '=', 0.0, '/    Utilidad Ruta : ', 1850.9711852580099]
['x[33, 1]', '=', 0.0, '/    Utilidad Ruta : ', 1399.21013410266]
['x[34, 1]', '=', 0.0, '/    Utilidad Ruta : ', 423.39143774053]
['x[35, 1]', '=', 0.0, '/    Utilidad Ruta : ', 1654.36819539527]
['x[36, 1]', '=', 0.0, '/    Utilidad Ruta : ', 612.6040742955399]
['x[37, 1]', '=', 0.0, '/    Utilidad Ruta : ', 921.9550295695999]
['x[38, 1]', '=', 0.0, '/    Utilidad Ruta : ', 1714.12155547003]
['x[39, 1]', '=', 0.0, '/    Utilidad Ruta : ', 1137.3890566100602]
['x[40, 1]', '=', 0.0, '/    Utilidad Ruta : ', 2349.719938140139]
['x[41, 1]', '=', 0.0, '/    Utilidad Ruta : ', 1395.10391468768]
['x[42, 1]', '=', 0.0, '/    Utilidad Ruta : ', 831.5467314292299]
['x[43, 1]', '=', 0.0, '/    Utilidad Ruta : ', 2281.4866065618794]
['x[44, 1]', '=', 0.0, '/    Utilidad Ruta : ', 2219.4509891037897]
['x[45, 1]', '=', 0.0, '/    Utilidad Ruta : ', 2261.5730573995106]
['x[46, 1]', '=', 0.0, '/    Utilidad Ruta : ', 1385.76188035285]
['x[47, 1]', '=', 0.0, '/    Utilidad Ruta : ', 2392.3207270896605]
['x[48, 1]', '=', 0.0, '/    Utilidad Ruta : ', 1944.73756132678]
['x[49, 1]', '=', 0.0, '/    Utilidad Ruta : ', 1154.5183942741398]
['x[50, 1]', '=', 0.0, '/    Utilidad Ruta : ', 2052.2687611701404]
['x[51, 1]', '=', 0.0, '/    Utilidad Ruta : ', 1333.45703027146]
['x[52, 1]', '=', 0.0, '/    Utilidad Ruta : ', 2257.506197151971]
['x[53, 1]', '=', 0.0, '/    Utilidad Ruta : ', 1425.1679090416796]
['x[54, 1]', '=', 0.0, '/    Utilidad Ruta : ', 988.6695850886399]
['x[55, 1]', '=', 0.0, '/    Utilidad Ruta : ', 2664.676687747119]
['x[56, 1]', '=', 0.0, '/    Utilidad Ruta : ', 566.64050800229]
['x[57, 1]', '=', 0.0, '/    Utilidad Ruta : ', 1999.7004204877203]
['x[58, 1]', '=', 0.0, '/    Utilidad Ruta : ', 3167.3185827970497]
['x[59, 1]', '=', 0.0, '/    Utilidad Ruta : ', 1846.8853239968998]
['x[60, 1]', '=', 0.0, '/    Utilidad Ruta : ', 2703.66322734895]
['x[61, 1]', '=', 0.0, '/    Utilidad Ruta : ', 2297.13631304651]
['x[62, 1]', '=', 0.0, '/    Utilidad Ruta : ', 1585.5402042169399]
['x[63, 1]', '=', 0.0, '/    Utilidad Ruta : ', 2813.9841904338296]
['x[64, 1]', '=', 0.3000000000000004, '/    Utilidad Ruta : ', 2161.29252647638]
['x[65, 1]', '=', 0.0, '/    Utilidad Ruta : ', 2195.77935770863]
['x[66, 1]', '=', 0.0, '/    Utilidad Ruta : ', 1852.2580864755903]
['x[1, 2]', '=', 0.0, '/    Utilidad Ruta : ', 625.25789192096]
['x[2, 2]', '=', 0.0, '/    Utilidad Ruta : ', 2744.5405217374705]
['x[3, 2]', '=', 0.0, '/    Utilidad Ruta : ', -377.8100186194]
['x[4, 2]', '=', 0.0, '/    Utilidad Ruta : ', 1423.31162210782]
['x[5, 2]', '=', 0.0, '/    Utilidad Ruta : ', 1003.47215954329]
['x[6, 2]', '=', 0.0, '/    Utilidad Ruta : ', 321.9809449113801]
['x[7, 2]', '=', 0.0, '/    Utilidad Ruta : ', -230.24844613114]
['x[8, 2]', '=', 0.0, '/    Utilidad Ruta : ', 678.5220795912498]
['x[9, 2]', '=', 0.0, '/    Utilidad Ruta : ', 33.74016863983002]
['x[10, 2]', '=', 0.0, '/    Utilidad Ruta : ', 205.13207637516007]
['x[11, 2]', '=', 0.0, '/    Utilidad Ruta : ', 831.3360230024498]
['x[12, 2]', '=', 0.0, '/    Utilidad Ruta : ', -5.857078278500012]
['x[13, 2]', '=', 0.0, '/    Utilidad Ruta : ', -21.926920952369983]
['x[14, 2]', '=', 0.0, '/    Utilidad Ruta : ', 1017.4140690106801]
['x[15, 2]', '=', 0.0, '/    Utilidad Ruta : ', 364.39435984845]
['x[16, 2]', '=', 0.0, '/    Utilidad Ruta : ', -170.3157898054]
['x[17, 2]', '=', 0.0, '/    Utilidad Ruta : ', -289.21688385357]
['x[18, 2]', '=', 0.0, '/    Utilidad Ruta : ', 349.0281999173401]
['x[19, 2]', '=', 0.0, '/    Utilidad Ruta : ', -111.41817779065002]
['x[20, 2]', '=', 0.0, '/    Utilidad Ruta : ', 360.1784118252101]
['x[21, 2]', '=', 0.0, '/    Utilidad Ruta : ', 265.65897207688]
['x[22, 2]', '=', 0.0, '/    Utilidad Ruta : ', 446.25519030807004]
['x[23, 2]', '=', 0.0, '/    Utilidad Ruta : ', -318.34120565631997]
['x[24, 2]', '=', 0.0, '/    Utilidad Ruta : ', -30.156744413789994]
['x[25, 2]', '=', 0.0, '/    Utilidad Ruta : ', 20.92992863523]
['x[26, 2]', '=', 0.0, '/    Utilidad Ruta : ', 206.14014995022995]
['x[27, 2]', '=', 0.0, '/    Utilidad Ruta : ', 779.0039618086098]
['x[28, 2]', '=', 0.0, '/    Utilidad Ruta : ', 7.411028178879974]
['x[29, 2]', '=', 0.0, '/    Utilidad Ruta : ', 319.13075385713]
['x[30, 2]', '=', 0.0, '/    Utilidad Ruta : ', 120.75096227784002]
['x[31, 2]', '=', 0.0, '/    Utilidad Ruta : ', 86.87275278323]
['x[32, 2]', '=', 0.0, '/    Utilidad Ruta : ', 315.69836891565]
['x[33, 2]', '=', 0.0, '/    Utilidad Ruta : ', 161.44216627473008]
['x[34, 2]', '=', 0.0, '/    Utilidad Ruta : ', 1020.83761425238]
['x[35, 2]', '=', 0.0, '/    Utilidad Ruta : ', 81.50726583354003]
['x[36, 2]', '=', 0.0, '/    Utilidad Ruta : ', -193.403562932]
['x[37, 2]', '=', 0.0, '/    Utilidad Ruta : ', 388.4343343230298]
['x[38, 2]', '=', 0.0, '/    Utilidad Ruta : ', 938.3082358215499]
['x[39, 2]', '=', 0.0, '/    Utilidad Ruta : ', 371.8539663014101]
['x[40, 2]', '=', 0.0, '/    Utilidad Ruta : ', 1391.23890647558]
['x[41, 2]', '=', 0.0, '/    Utilidad Ruta : ', 594.9371743178999]
['x[42, 2]', '=', 0.0, '/    Utilidad Ruta : ', 1182.98511240779]
['x[43, 2]', '=', 0.0, '/    Utilidad Ruta : ', 950.5938565976801]
['x[44, 2]', '=', 0.0, '/    Utilidad Ruta : ', 228.71430061273998]
['x[45, 2]', '=', 0.0, '/    Utilidad Ruta : ', 365.19209536589995]
['x[46, 2]', '=', 0.0, '/    Utilidad Ruta : ', 519.2303572408802]
['x[47, 2]', '=', 0.0, '/    Utilidad Ruta : ', 504.4347538571301]
['x[48, 2]', '=', 0.0, '/    Utilidad Ruta : ', 763.0084427601901]
['x[49, 2]', '=', 1.0, '/    Utilidad Ruta : ', 342.1945572142]
['x[50, 2]', '=', 0.0, '/    Utilidad Ruta : ', 267.9812862322301]
['x[51, 2]', '=', 0.0, '/    Utilidad Ruta : ', 1062.6780733608298]
['x[52, 2]', '=', 0.0, '/    Utilidad Ruta : ', 67.76541628746998]
['x[53, 2]', '=', 0.0, '/    Utilidad Ruta : ', 995.0808707779199]
['x[1, 3]', '=', 0.0, '/    Utilidad Ruta : ', 349.78899335092996]
['x[2, 3]', '=', 0.0, '/    Utilidad Ruta : ', 2554.57856773076]
['x[3, 3]', '=', 0.0, '/    Utilidad Ruta : ', 3565.0731546361203]
['x[4, 3]', '=', 0.0, '/    Utilidad Ruta : ', -157.2403470093]
['x[5, 3]', '=', 0.0, '/    Utilidad Ruta : ', 788.2066656436001]
['x[6, 3]', '=', 0.0, '/    Utilidad Ruta : ', 863.2956907485002]
['x[7, 3]', '=', 0.0, '/    Utilidad Ruta : ', 928.13210269911]
['x[8, 3]', '=', 0.0, '/    Utilidad Ruta : ', 2353.33515553777]
['x[9, 3]', '=', 0.0, '/    Utilidad Ruta : ', 1933.9055434890402]
['x[10, 3]', '=', 0.0, '/    Utilidad Ruta : ', 141.2132793998]
['x[11, 3]', '=', 0.0, '/    Utilidad Ruta : ', 178.85412575299995]
['x[12, 3]', '=', 0.0, '/    Utilidad Ruta : ', -92.19547584295]
['x[13, 3]', '=', 0.0, '/    Utilidad Ruta : ', 469.26162780148013]
['x[14, 3]', '=', 0.0, '/    Utilidad Ruta : ', 231.52050971649004]
['x[15, 3]', '=', 0.0, '/    Utilidad Ruta : ', 275.16853220433006]
['x[16, 3]', '=', 0.0, '/    Utilidad Ruta : ', 562.1489531414101]
['x[17, 3]', '=', 0.0, '/    Utilidad Ruta : ', 413.42122719301994]
['x[18, 3]', '=', 0.0, '/    Utilidad Ruta : ', 478.26166913476004]
['x[19, 3]', '=', 0.0, '/    Utilidad Ruta : ', 235.15134386535]
['x[20, 3]', '=', 0.0, '/    Utilidad Ruta : ', 274.04574443946996]
['x[21, 3]', '=', 0.0, '/    Utilidad Ruta : ', 169.00298761885]
['x[22, 3]', '=', 0.0, '/    Utilidad Ruta : ', 885.3292459937101]
['x[23, 3]', '=', 0.0, '/    Utilidad Ruta : ', 870.3332573823]
['x[24, 3]', '=', 0.5, '/    Utilidad Ruta : ', 799.60097634471]
['x[25, 3]', '=', 0.0, '/    Utilidad Ruta : ', 269.8001988973]
['x[26, 3]', '=', 0.0, '/    Utilidad Ruta : ', 425.2287854]
['x[27, 3]', '=', 0.0, '/    Utilidad Ruta : ', 139.26298244324997]
['x[28, 3]', '=', 0.0, '/    Utilidad Ruta : ', 103.4073861558]
['x[29, 3]', '=', 0.0, '/    Utilidad Ruta : ', 1121.11792006325]
['x[30, 3]', '=', 0.0, '/    Utilidad Ruta : ', 429.1599585093501]
['x[31, 3]', '=', 0.5, '/    Utilidad Ruta : ', 1236.4584521784102]
['x[32, 3]', '=', 0.0, '/    Utilidad Ruta : ', 215.48551952631]
['x[33, 3]', '=', 0.0, '/    Utilidad Ruta : ', 248.16151085506]
['x[34, 3]', '=', 0.0, '/    Utilidad Ruta : ', 892.09174385083]
['x[35, 3]', '=', 0.0, '/    Utilidad Ruta : ', 949.2409900492901]
['x[36, 3]', '=', 0.0, '/    Utilidad Ruta : ', 649.4492554584899]
['x[37, 3]', '=', 0.0, '/    Utilidad Ruta : ', 1179.03659340691]
['x[38, 3]', '=', 0.0, '/    Utilidad Ruta : ', 1146.08501501072]
['x[39, 3]', '=', 0.0, '/    Utilidad Ruta : ', 598.01291864485]
['x[40, 3]', '=', 0.0, '/    Utilidad Ruta : ', 201.67897894759994]
['x[41, 3]', '=', 0.0, '/    Utilidad Ruta : ', 1226.3657422015199]
['x[42, 3]', '=', 0.0, '/    Utilidad Ruta : ', 847.5790120619399]
['x[43, 3]', '=', 0.0, '/    Utilidad Ruta : ', 884.2080565434101]
['x[44, 3]', '=', 0.0, '/    Utilidad Ruta : ', 300.19128032607]
['x[45, 3]', '=', 0.0, '/    Utilidad Ruta : ', 281.7075108550599]
['x[46, 3]', '=', 0.0, '/    Utilidad Ruta : ', 249.03151952631003]
['x[47, 3]', '=', 0.0, '/    Utilidad Ruta : ', 1222.89582222971]
['x[48, 3]', '=', 0.0, '/    Utilidad Ruta : ', 810.4657221446503]
['x[49, 3]', '=', 0.0, '/    Utilidad Ruta : ', 641.77806410323]
['x[50, 3]', '=', 0.0, '/    Utilidad Ruta : ', 782.58972117595]
['x[1, 4]', '=', 0.0, '/    Utilidad Ruta : ', 326.26383849331]
['x[2, 4]', '=', 0.0, '/    Utilidad Ruta : ', 4273.980831174579]
['x[3, 4]', '=', 0.0, '/    Utilidad Ruta : ', -181.47456976776]
['x[4, 4]', '=', 0.0, '/    Utilidad Ruta : ', 3059.29656499182]
