['x[1, 1]', '=', 0.0, '/    Utilidad Ruta : ', 251.08359371180995]
['x[2, 1]', '=', 0.0, '/    Utilidad Ruta : ', 3175.6006571717803]
['x[3, 1]', '=', 0.0, '/    Utilidad Ruta : ', 3526.4321986042905]
['x[4, 1]', '=', 0.0, '/    Utilidad Ruta : ', -229.13196348]
['x[5, 1]', '=', 0.0, '/    Utilidad Ruta : ', 2436.22752590182]
['x[6, 1]', '=', 0.0, '/    Utilidad Ruta : ', 1198.8586347507899]
['x[7, 1]', '=', 0.0, '/    Utilidad Ruta : ', 1081.1002398441701]
['x[8, 1]', '=', 0.0, '/    Utilidad Ruta : ', 239.33762993542007]
['x[9, 1]', '=', 0.0, '/    Utilidad Ruta : ', 329.07284721437]
['x[10, 1]', '=', 0.0, '/    Utilidad Ruta : ', 527.5402116459]
['x[11, 1]', '=', 0.0, '/    Utilidad Ruta : ', 592.4992302433]
['x[12, 1]', '=', 0.0, '/    Utilidad Ruta : ', -157.68673351673]
['x[13, 1]', '=', 0.0, '/    Utilidad Ruta : ', 0.3838803326400182]
['x[14, 1]', '=', 0.0, '/    Utilidad Ruta : ', 529.4426706068]
['x[15, 1]', '=', 0.0, '/    Utilidad Ruta : ', 76.72613497449998]
['x[16, 1]', '=', 0.0, '/    Utilidad Ruta : ', 1163.66311842103]
['x[17, 1]', '=', 0.0, '/    Utilidad Ruta : ', -79.2258701792]
['x[18, 1]', '=', 0.0, '/    Utilidad Ruta : ', 273.70178251366]
['x[19, 1]', '=', 0.0, '/    Utilidad Ruta : ', 771.52209676079]
['x[20, 1]', '=', 0.0, '/    Utilidad Ruta : ', 916.6724260505]
['x[21, 1]', '=', 0.0, '/    Utilidad Ruta : ', 525.1143948684299]
['x[22, 1]', '=', 0.5101717926515077, '/    Utilidad Ruta : ', 766.8379981774001]
['x[23, 1]', '=', 0.0, '/    Utilidad Ruta : ', 1627.2872441102097]
['x[24, 1]', '=', 0.0, '/    Utilidad Ruta : ', 726.04220479438]
['x[25, 1]', '=', 0.0, '/    Utilidad Ruta : ', 872.7564398182001]
['x[26, 1]', '=', 0.0, '/    Utilidad Ruta : ', 1377.5522956134303]
['x[27, 1]', '=', 0.0, '/    Utilidad Ruta : ', 1219.60776167618]
['x[28, 1]', '=', 0.0, '/    Utilidad Ruta : ', 397.17038244437003]
['x[29, 1]', '=', 0.0, '/    Utilidad Ruta : ', 889.0765102205]
