['x[1, 1]', '=', 0.0, '/    Utilidad Ruta : ', 478.30092048886]
['x[2, 1]', '=', 0.0, '/    Utilidad Ruta : ', 3937.1072348894504]
['x[3, 1]', '=', 0.0, '/    Utilidad Ruta : ', -229.13196348]
['x[4, 1]', '=', 0.0, '/    Utilidad Ruta : ', 2499.8342869353496]
['x[5, 1]', '=', 0.0, '/    Utilidad Ruta : ', 1758.1643355302404]
['x[6, 1]', '=', 0.0, '/    Utilidad Ruta : ', 22.712221439699988]
['x[7, 1]', '=', 0.0, '/    Utilidad Ruta : ', -58.18030061354]
['x[8, 1]', '=', 0.0, '/    Utilidad Ruta : ', 178.72517758766998]
['x[9, 1]', '=', 0.0, '/    Utilidad Ruta : ', 589.9410511226]
['x[10, 1]', '=', 0.0, '/    Utilidad Ruta : ', 1015.2174662667603]
['x[11, 1]', '=', 0.0, '/    Utilidad Ruta : ', -129.27595302023002]
['x[12, 1]', '=', 0.0, '/    Utilidad Ruta : ', 210.76228015326]
['x[13, 1]', '=', 0.0, '/    Utilidad Ruta : ', -27.58772361109999]
['x[14, 1]', '=', 0.0, '/    Utilidad Ruta : ', 977.0623148874702]
['x[15, 1]', '=', 0.0, '/    Utilidad Ruta : ', 165.75802187620002]
['x[16, 1]', '=', 0.0, '/    Utilidad Ruta : ', 1400.04565548987]
['x[17, 1]', '=', 0.0, '/    Utilidad Ruta : ', 724.2193276319101]
['x[18, 1]', '=', 0.0, '/    Utilidad Ruta : ', 597.40052546171]
['x[19, 1]', '=', 0.0, '/    Utilidad Ruta : ', 546.6274571743099]
['x[20, 1]', '=', 0.0, '/    Utilidad Ruta : ', 188.77541228021005]
['x[21, 1]', '=', 0.0, '/    Utilidad Ruta : ', 149.68569062116]
['x[22, 1]', '=', 0.0, '/    Utilidad Ruta : ', 1072.1112820278902]
['x[23, 1]', '=', 0.0, '/    Utilidad Ruta : ', 733.1751821705001]
['x[24, 1]', '=', 0.0, '/    Utilidad Ruta : ', 589.48965471111]
['x[25, 1]', '=', 0.0, '/    Utilidad Ruta : ', 581.2493026287899]
['x[26, 1]', '=', 0.0, '/    Utilidad Ruta : ', 1308.09527103472]
['x[27, 1]', '=', 0.0, '/    Utilidad Ruta : ', 225.59677848374002]
['x[28, 1]', '=', 0.0, '/    Utilidad Ruta : ', 1468.60234027969]
['x[29, 1]', '=', 0.0, '/    Utilidad Ruta : ', 213.32797620500003]
['x[30, 1]', '=', 0.0, '/    Utilidad Ruta : ', 874.2784403513701]
['x[31, 1]', '=', 0.0, '/    Utilidad Ruta : ', 511.3501209922099]
['x[32, 1]', '=', 0.0, '/    Utilidad Ruta : ', 237.89730109594007]
['x[33, 1]', '=', 0.0, '/    Utilidad Ruta : ', 529.45780890331]
['x[34, 1]', '=', 0.0, '/    Utilidad Ruta : ', -9.34608560097999]
['x[35, 1]', '=', 0.0, '/    Utilidad Ruta : ', 816.15305891261]
['x[36, 1]', '=', 0.0, '/    Utilidad Ruta : ', 1828.11289585728]
['x[37, 1]', '=', 0.0, '/    Utilidad Ruta : ', 2247.72305567406]
['x[38, 1]', '=', 0.0, '/    Utilidad Ruta : ', 1230.8149163056398]
['x[39, 1]', '=', 0.0, '/    Utilidad Ruta : ', 2095.3503942487996]
['x[40, 1]', '=', 0.0, '/    Utilidad Ruta : ', 1489.1535402306301]
['x[41, 1]', '=', 0.0, '/    Utilidad Ruta : ', 1185.39985124625]
['x[42, 1]', '=', 0.0, '/    Utilidad Ruta : ', 2058.6699708021997]
['x[43, 1]', '=', 0.0, '/    Utilidad Ruta : ', 712.5355258173101]
['x[44, 1]', '=', 0.0, '/    Utilidad Ruta : ', 858.5129722019501]
['x[45, 1]', '=', 0.0, '/    Utilidad Ruta : ', 1399.3320674163301]
['x[46, 1]', '=', 0.0, '/    Utilidad Ruta : ', 1487.6571096435498]
['x[47, 1]', '=', 0.0, '/    Utilidad Ruta : ', 1101.4234611239299]
['x[48, 1]', '=', 0.0, '/    Utilidad Ruta : ', 875.3472265278599]
['x[49, 1]', '=', 0.0267515923566879, '/    Utilidad Ruta : ', 1513.07308647559]
['x[50, 1]', '=', 0.0, '/    Utilidad Ruta : ', 1050.37245966228]
['x[51, 1]', '=', 0.35371549893842885, '/    Utilidad Ruta : ', 1134.74027776404]
['x[52, 1]', '=', 0.0, '/    Utilidad Ruta : ', 507.7799350564601]
['x[53, 1]', '=', 0.0, '/    Utilidad Ruta : ', 979.98874500852]
['x[54, 1]', '=', 0.0, '/    Utilidad Ruta : ', 1185.78754169228]
['x[55, 1]', '=', 0.5571125265392781, '/    Utilidad Ruta : ', 1573.52135833239]
['x[56, 1]', '=', 0.0, '/    Utilidad Ruta : ', 2301.4576462910304]
['x[57, 1]', '=', 0.0, '/    Utilidad Ruta : ', 2175.29352647638]
['x[58, 1]', '=', 0.0, '/    Utilidad Ruta : ', 983.6819394006002]
['x[59, 1]', '=', 0.0624203821656051, '/    Utilidad Ruta : ', 2002.5854852316997]
['x[60, 1]', '=', 0.0, '/    Utilidad Ruta : ', 855.65546112393]
['x[61, 1]', '=', 0.0, '/    Utilidad Ruta : ', 1653.7073063439702]
['x[62, 1]', '=', 0.0, '/    Utilidad Ruta : ', 1615.8378070359]
['x[1, 2]', '=', 0.0, '/    Utilidad Ruta : ', 738.6546124024201]
['x[2, 2]', '=', 0.0, '/    Utilidad Ruta : ', 3393.1514089923603]
['x[3, 2]', '=', 0.0, '/    Utilidad Ruta : ', -377.8100186194]
['x[4, 2]', '=', 0.0, '/    Utilidad Ruta : ', 1794.77449436595]
['x[5, 2]', '=', 0.0, '/    Utilidad Ruta : ', 2081.67590541589]
['x[6, 2]', '=', 0.0, '/    Utilidad Ruta : ', 1777.6105834207206]
['x[7, 2]', '=', 0.0, '/    Utilidad Ruta : ', 1309.8690718660498]
['x[8, 2]', '=', 0.0, '/    Utilidad Ruta : ', 2263.68517205861]
['x[9, 2]', '=', 0.0, '/    Utilidad Ruta : ', 379.04019991734015]
['x[10, 2]', '=', 0.0, '/    Utilidad Ruta : ', 335.2071100307701]
['x[11, 2]', '=', 0.0, '/    Utilidad Ruta : ', 896.3464051677399]
['x[12, 2]', '=', 0.0, '/    Utilidad Ruta : ', 191.65178316625997]
['x[13, 2]', '=', 0.0, '/    Utilidad Ruta : ', 543.31801151515]
['x[14, 2]', '=', 0.0, '/    Utilidad Ruta : ', 247.79439618648007]
['x[15, 2]', '=', 0.0, '/    Utilidad Ruta : ', 1021.0731266255398]
['x[16, 2]', '=', 0.0, '/    Utilidad Ruta : ', 231.77176624977]
['x[17, 2]', '=', 0.0, '/    Utilidad Ruta : ', 652.66761113908]
['x[18, 2]', '=', 0.0, '/    Utilidad Ruta : ', 1542.38134950343]
['x[19, 2]', '=', 0.0, '/    Utilidad Ruta : ', 1224.8775323505001]
['x[20, 2]', '=', 0.0, '/    Utilidad Ruta : ', 1086.76234324924]
['x[21, 2]', '=', 0.0, '/    Utilidad Ruta : ', 2255.07670889449]
['x[22, 2]', '=', 0.0, '/    Utilidad Ruta : ', 1316.7470619874098]
['x[23, 2]', '=', 0.0, '/    Utilidad Ruta : ', 1339.4033043879404]
['x[24, 2]', '=', 0.0, '/    Utilidad Ruta : ', 2134.47789547043]
['x[25, 2]', '=', 0.0, '/    Utilidad Ruta : ', 1393.72375089373]
['x[26, 2]', '=', 0.0, '/    Utilidad Ruta : ', 1906.3269450649]
['x[27, 2]', '=', 0.0, '/    Utilidad Ruta : ', 701.01977248599]
['x[28, 2]', '=', 0.0, '/    Utilidad Ruta : ', 1329.99254610239]
['x[29, 2]', '=', 0.0, '/    Utilidad Ruta : ', 1254.3286247567403]
['x[30, 2]', '=', 0.0, '/    Utilidad Ruta : ', 617.6372267010097]
['x[31, 2]', '=', 0.0, '/    Utilidad Ruta : ', 405.60286211023003]
['x[32, 2]', '=', 0.0, '/    Utilidad Ruta : ', 695.6132829938404]
['x[33, 2]', '=', 0.0, '/    Utilidad Ruta : ', 1141.95777512325]
['x[34, 2]', '=', 0.0, '/    Utilidad Ruta : ', 1331.93871501604]
['x[35, 2]', '=', 0.0, '/    Utilidad Ruta : ', 1741.4906264219599]
['x[36, 2]', '=', 0.0, '/    Utilidad Ruta : ', 2253.42300352371]
['x[37, 2]', '=', 0.0, '/    Utilidad Ruta : ', 1623.5533296848698]
['x[38, 2]', '=', 0.0, '/    Utilidad Ruta : ', 1861.4489987935199]
['x[39, 2]', '=', 0.0, '/    Utilidad Ruta : ', 1414.72473283785]
['x[40, 2]', '=', 0.0, '/    Utilidad Ruta : ', 1733.6630229472298]
['x[41, 2]', '=', 0.0, '/    Utilidad Ruta : ', 1349.5612810373202]
['x[42, 2]', '=', 0.0, '/    Utilidad Ruta : ', 1285.25134669498]
['x[43, 2]', '=', 0.0, '/    Utilidad Ruta : ', 1896.5058367702404]
['x[44, 2]', '=', 0.0, '/    Utilidad Ruta : ', 1674.1967563775202]
['x[45, 2]', '=', 0.0, '/    Utilidad Ruta : ', 2183.9232805167103]
['x[46, 2]', '=', 0.0, '/    Utilidad Ruta : ', 1664.78763565186]
['x[47, 2]', '=', 0.0, '/    Utilidad Ruta : ', 1350.18862223603]
['x[48, 2]', '=', 0.0, '/    Utilidad Ruta : ', 1387.1394006069402]
['x[49, 2]', '=', 0.0, '/    Utilidad Ruta : ', 1471.25955750905]
['x[50, 2]', '=', 0.2019108280254777, '/    Utilidad Ruta : ', 1106.67587298289]
['x[51, 2]', '=', 0.0, '/    Utilidad Ruta : ', 780.6566106246502]
['x[52, 2]', '=', 0.0, '/    Utilidad Ruta : ', 1875.7310545031596]
['x[53, 2]', '=', 0.0, '/    Utilidad Ruta : ', 2033.9261764318098]
['x[54, 2]', '=', 0.0, '/    Utilidad Ruta : ', 991.1839632088199]
['x[55, 2]', '=', 0.0, '/    Utilidad Ruta : ', 1050.7801088452502]
['x[56, 2]', '=', 0.0, '/    Utilidad Ruta : ', 853.29887077148]
['x[57, 2]', '=', 0.0, '/    Utilidad Ruta : ', 415.62582220934996]
['x[58, 2]', '=', 0.0, '/    Utilidad Ruta : ', 1561.8936127319998]
['x[59, 2]', '=', 0.0, '/    Utilidad Ruta : ', 1432.8925895039702]
['x[60, 2]', '=', 0.0, '/    Utilidad Ruta : ', 1202.2455323505]
['x[61, 2]', '=', 0.0, '/    Utilidad Ruta : ', 2287.43723635376]
['x[62, 2]', '=', 0.0, '/    Utilidad Ruta : ', 1126.58882220935]
['x[63, 2]', '=', 0.0, '/    Utilidad Ruta : ', 1194.3500810640003]
['x[64, 2]', '=', 0.0, '/    Utilidad Ruta : ', 1067.9460851200502]
['x[65, 2]', '=', 0.0, '/    Utilidad Ruta : ', 1471.8648141408698]
['x[66, 2]', '=', 0.0, '/    Utilidad Ruta : ', 1118.0763766855503]
['x[67, 2]', '=', 0.0, '/    Utilidad Ruta : ', 1456.83162223603]
['x[68, 2]', '=', 0.028237791932059473, '/    Utilidad Ruta : ', 1490.40515816319]
['x[69, 2]', '=', 0.0, '/    Utilidad Ruta : ', 1030.0651824877]
['x[70, 2]', '=', 0.0, '/    Utilidad Ruta : ', 1820.9214026052498]
['x[71, 2]', '=', 0.35520169851380057, '/    Utilidad Ruta : ', 993.3753766855502]
['x[72, 2]', '=', 0.0, '/    Utilidad Ruta : ', 1478.4500530277]
['x[73, 2]', '=', 0.0, '/    Utilidad Ruta : ', 1575.2969583942602]
['x[74, 2]', '=', 0.32547770700636935, '/    Utilidad Ruta : ', 1128.37631850669]
['x[75, 2]', '=', 0.08917197452229293, '/    Utilidad Ruta : ', 1568.03412414486]
['x[1, 3]', '=', 0.0, '/    Utilidad Ruta : ', 649.06739595255]
['x[2, 3]', '=', 0.0, '/    Utilidad Ruta : ', 2630.2511783827504]
['x[3, 3]', '=', 0.0, '/    Utilidad Ruta : ', 3067.20029927951]
['x[4, 3]', '=', 0.0, '/    Utilidad Ruta : ', -157.2403470093]
['x[5, 3]', '=', 0.0, '/    Utilidad Ruta : ', 1506.1097155241903]
['x[6, 3]', '=', 0.0, '/    Utilidad Ruta : ', 2385.97630185989]
['x[7, 3]', '=', 0.0, '/    Utilidad Ruta : ', 1068.67431693534]
['x[8, 3]', '=', 0.0, '/    Utilidad Ruta : ', 296.12343031193996]
['x[9, 3]', '=', 0.0, '/    Utilidad Ruta : ', -57.61966122234]
['x[10, 3]', '=', 0.0, '/    Utilidad Ruta : ', 672.95499124474]
['x[11, 3]', '=', 0.0, '/    Utilidad Ruta : ', 614.38387245424]
['x[12, 3]', '=', 0.0, '/    Utilidad Ruta : ', 1467.03595345432]
['x[13, 3]', '=', 0.0, '/    Utilidad Ruta : ', 486.98798692957007]
['x[14, 3]', '=', 0.0, '/    Utilidad Ruta : ', -92.19547584295]
['x[15, 3]', '=', 0.0, '/    Utilidad Ruta : ', 209.04514123341005]
['x[16, 3]', '=', 0.0, '/    Utilidad Ruta : ', 1233.78939621279]
['x[17, 3]', '=', 0.0, '/    Utilidad Ruta : ', 857.85992522374]
['x[18, 3]', '=', 0.0, '/    Utilidad Ruta : ', 605.83717571048]
['x[19, 3]', '=', 0.0, '/    Utilidad Ruta : ', 423.2124087909401]
['x[20, 3]', '=', 0.0, '/    Utilidad Ruta : ', 562.1489531414101]
['x[21, 3]', '=', 0.0, '/    Utilidad Ruta : ', 687.64788338583]
['x[22, 3]', '=', 0.0, '/    Utilidad Ruta : ', 406.53508773285]
['x[23, 3]', '=', 0.0, '/    Utilidad Ruta : ', 916.1601293143101]
['x[24, 3]', '=', 1.0, '/    Utilidad Ruta : ', 691.01966812511]
['x[25, 3]', '=', 0.0, '/    Utilidad Ruta : ', 1122.59713823898]
['x[26, 3]', '=', 0.0, '/    Utilidad Ruta : ', 679.9476276263501]
['x[27, 3]', '=', 0.0, '/    Utilidad Ruta : ', 206.96988920144997]
['x[28, 3]', '=', 0.0, '/    Utilidad Ruta : ', 812.30226822325]
['x[29, 3]', '=', 0.0, '/    Utilidad Ruta : ', 223.10166636920007]
['x[30, 3]', '=', 0.0, '/    Utilidad Ruta : ', 929.1471316457203]
['x[31, 3]', '=', 0.0, '/    Utilidad Ruta : ', 211.74432452937003]
['x[32, 3]', '=', 0.0, '/    Utilidad Ruta : ', 355.10341488295]
['x[33, 3]', '=', 0.0, '/    Utilidad Ruta : ', 810.19970308681]
['x[34, 3]', '=', 0.0, '/    Utilidad Ruta : ', 1118.0758221004103]
['x[35, 3]', '=', 0.0, '/    Utilidad Ruta : ', 55.06100861774996]
