['Corrida', 'Tiempo (seg)', 'Utilidad Relajada (US$)', 'Utilidad Final (US$)']
[1, 344.0951979160309, 5844.276877165599, 'Total Utilidad: 5844.28']
[2, 167.05541706085205, 5557.3585971537705, 'Total Utilidad: 5557.35']
[3, 336.64431715011597, 5765.401022982229, 'Total Utilidad: 5765.41']
[4, 345.3753488063812, 5847.868683551909, 'Total Utilidad: 5847.86']
[5, 241.02433896064758, 5757.8307757965995, 'Total Utilidad: 5757.83']
[6, 272.48737812042236, 5892.53722076753, 'Total Utilidad: 5892.53']
[7, 300.47461700439453, 5729.78599998105, 'Total Utilidad: 5729.79']
[8, 392.37179493904114, 5856.53892783126, 'Total Utilidad: 5856.54']
[9, 289.1514871120453, 5950.76406277969, 'Total Utilidad: 5950.77']
[10, 212.03449296951294, 5780.70010790418, 'Total Utilidad: 5780.69']
