['x[1, 1]', '=', 0.0, '/    Utilidad Ruta : ', 39406.3441826171]
['x[2, 1]', '=', 0.0, '/    Utilidad Ruta : ', 155386.16069799257]
['x[3, 1]', '=', 0.0, '/    Utilidad Ruta : ', 167470.0695191427]
['x[4, 1]', '=', 0.0, '/    Utilidad Ruta : ', -45.2745870439]
['x[5, 1]', '=', 0.0, '/    Utilidad Ruta : ', 49066.01367124768]
['x[6, 1]', '=', 0.0, '/    Utilidad Ruta : ', 125395.5761029329]
['x[7, 1]', '=', 0.0, '/    Utilidad Ruta : ', 143373.64972123387]
['x[8, 1]', '=', 0.0, '/    Utilidad Ruta : ', 35732.876726917]
['x[9, 1]', '=', 0.0, '/    Utilidad Ruta : ', 114684.4394668098]
['x[10, 1]', '=', 0.0, '/    Utilidad Ruta : ', 124300.97073306581]
['x[11, 1]', '=', 0.0, '/    Utilidad Ruta : ', 106389.39325338554]
['x[12, 1]', '=', 0.0, '/    Utilidad Ruta : ', 59677.90601870869]
['x[13, 1]', '=', 0.0, '/    Utilidad Ruta : ', 124389.64138795568]
['x[14, 1]', '=', 0.0, '/    Utilidad Ruta : ', 62166.71488946378]
['x[15, 1]', '=', 0.0, '/    Utilidad Ruta : ', 25059.4932853483]
['x[16, 1]', '=', 0.0, '/    Utilidad Ruta : ', 38261.32863716742]
['x[17, 1]', '=', 0.0, '/    Utilidad Ruta : ', 76519.0626814012]
['x[18, 1]', '=', 0.0, '/    Utilidad Ruta : ', 37050.12261065721]
['x[19, 1]', '=', 0.0, '/    Utilidad Ruta : ', 13121.2581445403]
['x[20, 1]', '=', 0.0, '/    Utilidad Ruta : ', 22721.13973423611]
['x[21, 1]', '=', 0.0, '/    Utilidad Ruta : ', 54940.35958623653]
['x[22, 1]', '=', 0.2639243519449222, '/    Utilidad Ruta : ', 27471.84819723154]
['x[23, 1]', '=', 0.0, '/    Utilidad Ruta : ', 17919.0390194343]
['x[24, 1]', '=', 0.0, '/    Utilidad Ruta : ', 21489.72365698782]
['x[25, 1]', '=', 0.0, '/    Utilidad Ruta : ', 64583.56346489702]
['x[26, 1]', '=', 0.0, '/    Utilidad Ruta : ', 29891.20670733962]
['x[27, 1]', '=', 0.0, '/    Utilidad Ruta : ', 22687.1683206008]
['x[28, 1]', '=', 0.0, '/    Utilidad Ruta : ', 71737.51979568123]
['x[29, 1]', '=', 0.2780740074779861, '/    Utilidad Ruta : ', 21536.4773426638]
['x[30, 1]', '=', 0.0, '/    Utilidad Ruta : ', 113664.7450682648]
['x[31, 1]', '=', 0.0, '/    Utilidad Ruta : ', 32237.9701058786]
['x[32, 1]', '=', 0.3702160195772359, '/    Utilidad Ruta : ', 29863.13765527]
['x[33, 1]', '=', 0.0, '/    Utilidad Ruta : ', 89691.76672351344]
['x[34, 1]', '=', 0.0, '/    Utilidad Ruta : ', 31050.95019989954]
['x[35, 1]', '=', 0.0, '/    Utilidad Ruta : ', 104053.63266061021]
['x[36, 1]', '=', 0.0, '/    Utilidad Ruta : ', 45451.56937126]
['x[37, 1]', '=', 0.0, '/    Utilidad Ruta : ', 76616.60077551435]
['x[38, 1]', '=', 0.08778562099985586, '/    Utilidad Ruta : ', 68192.09736184846]
['x[1, 2]', '=', 0.0, '/    Utilidad Ruta : ', 76450.55215942237]
['x[2, 2]', '=', 0.0, '/    Utilidad Ruta : ', 187810.91248321615]
['x[3, 2]', '=', 0.0, '/    Utilidad Ruta : ', 187850.46264702428]
['x[4, 2]', '=', 0.0, '/    Utilidad Ruta : ', -25.0518701298]
['x[5, 2]', '=', 0.0, '/    Utilidad Ruta : ', 109976.2307144316]
['x[6, 2]', '=', 0.0, '/    Utilidad Ruta : ', 126739.98465621535]
['x[7, 2]', '=', 0.0, '/    Utilidad Ruta : ', 169843.50361926848]
['x[8, 2]', '=', 0.0, '/    Utilidad Ruta : ', 64544.30241555192]
['x[9, 2]', '=', 0.0, '/    Utilidad Ruta : ', 54994.4903379869]
['x[10, 2]', '=', 0.0, '/    Utilidad Ruta : ', 26227.229887978]
['x[11, 2]', '=', 0.0, '/    Utilidad Ruta : ', 23917.80275005088]
['x[12, 2]', '=', 0.0, '/    Utilidad Ruta : ', 23873.1397395595]
['x[13, 2]', '=', 0.0, '/    Utilidad Ruta : ', 50133.16121838082]
['x[14, 2]', '=', 0.0, '/    Utilidad Ruta : ', 54968.3940810821]
['x[15, 2]', '=', 0.0, '/    Utilidad Ruta : ', 48991.36377935584]
['x[16, 2]', '=', 0.0, '/    Utilidad Ruta : ', 22722.71273136622]
['x[17, 2]', '=', 0.0, '/    Utilidad Ruta : ', 32219.1095134796]
['x[18, 2]', '=', 0.0, '/    Utilidad Ruta : ', 16739.56066720102]
['x[19, 2]', '=', 0.0, '/    Utilidad Ruta : ', 13151.09952113994]
['x[20, 2]', '=', 0.0, '/    Utilidad Ruta : ', 13145.9196842059]
['x[21, 2]', '=', 0.0, '/    Utilidad Ruta : ', 32269.19703240717]
['x[22, 2]', '=', 0.0, '/    Utilidad Ruta : ', 20303.7751950829]
['x[23, 2]', '=', 0.0, '/    Utilidad Ruta : ', 13146.45416095233]
['x[24, 2]', '=', 0.0, '/    Utilidad Ruta : ', 34700.9313532078]
['x[25, 2]', '=', 0.0, '/    Utilidad Ruta : ', 27475.89600639397]
['x[26, 2]', '=', 0.0, '/    Utilidad Ruta : ', 52646.27747142649]
['x[27, 2]', '=', 0.0, '/    Utilidad Ruta : ', 22703.34987558666]
['x[28, 2]', '=', 0.0, '/    Utilidad Ruta : ', 35879.7641107063]
['x[29, 2]', '=', 0.0, '/    Utilidad Ruta : ', 23929.82453581501]
