['x[76, 1]', '=', 0.0, '/    Utilidad Ruta : ', 703.3801963220301]
['x[77, 1]', '=', 0.0, '/    Utilidad Ruta : ', 1768.1879325249301]
['x[78, 1]', '=', 0.0, '/    Utilidad Ruta : ', 2664.6301244584206]
['x[79, 1]', '=', 0.0, '/    Utilidad Ruta : ', 1243.5955054812898]
['x[80, 1]', '=', 0.0, '/    Utilidad Ruta : ', 1996.3509642203594]
['x[81, 1]', '=', 0.0, '/    Utilidad Ruta : ', 1146.78113777296]
['x[82, 1]', '=', 0.0, '/    Utilidad Ruta : ', 1590.8011280512499]
['x[83, 1]', '=', 0.0, '/    Utilidad Ruta : ', 1567.61639414103]
['x[84, 1]', '=', 0.0, '/    Utilidad Ruta : ', 1404.2889856256]
['x[85, 1]', '=', 0.0, '/    Utilidad Ruta : ', 2200.21727560087]
['x[86, 1]', '=', 0.0, '/    Utilidad Ruta : ', 1665.59797252618]
['x[87, 1]', '=', 0.0, '/    Utilidad Ruta : ', 1857.6179611658897]
['x[88, 1]', '=', 0.0, '/    Utilidad Ruta : ', 2435.3373163832603]
['x[89, 1]', '=', 0.0, '/    Utilidad Ruta : ', 1393.12505296677]
['x[90, 1]', '=', 0.0, '/    Utilidad Ruta : ', 1896.7689389817103]
['x[91, 1]', '=', 0.0, '/    Utilidad Ruta : ', 1569.9696632758103]
['x[92, 1]', '=', 0.0, '/    Utilidad Ruta : ', 1625.53025625878]
['x[93, 1]', '=', 0.0, '/    Utilidad Ruta : ', 1148.2285160267197]
['x[94, 1]', '=', 0.0, '/    Utilidad Ruta : ', 940.0255249597701]
['x[95, 1]', '=', 0.01100229034357877, '/    Utilidad Ruta : ', 1233.6713583323901]
['x[96, 1]', '=', 0.014444486927865182, '/    Utilidad Ruta : ', 1182.70400866461]
['x[97, 1]', '=', 0.0, '/    Utilidad Ruta : ', 1614.47774288474]
['x[98, 1]', '=', 0.0, '/    Utilidad Ruta : ', 1679.8945637793995]
['x[99, 1]', '=', 0.0, '/    Utilidad Ruta : ', 2054.22963329285]
['x[100, 1]', '=', 8.981368932617043e-05, '/    Utilidad Ruta : ', 1820.4889367322198]
['x[101, 1]', '=', 0.0, '/    Utilidad Ruta : ', 2423.57701613459]
['x[102, 1]', '=', -0.0001197515857682273, '/    Utilidad Ruta : ', 1694.3671962061198]
['x[1, 2]', '=', 0.0, '/    Utilidad Ruta : ', 408.54793285125004]
['x[2, 2]', '=', 0.0, '/    Utilidad Ruta : ', 3939.728544365419]
['x[3, 2]', '=', 0.0, '/    Utilidad Ruta : ', -377.8100186194]
['x[4, 2]', '=', 0.0, '/    Utilidad Ruta : ', 2688.9616727410203]
['x[5, 2]', '=', 0.0, '/    Utilidad Ruta : ', 1650.0138759484803]
['x[6, 2]', '=', 0.0, '/    Utilidad Ruta : ', 63.286649133249966]
['x[7, 2]', '=', 0.0, '/    Utilidad Ruta : ', 2171.3933939422104]
['x[8, 2]', '=', 0.0, '/    Utilidad Ruta : ', 142.23581634165004]
['x[9, 2]', '=', 0.0, '/    Utilidad Ruta : ', -227.01304876294003]
['x[10, 2]', '=', 0.0, '/    Utilidad Ruta : ', 1174.10306825226]
['x[11, 2]', '=', 0.0, '/    Utilidad Ruta : ', 135.79912933812994]
['x[12, 2]', '=', 0.0, '/    Utilidad Ruta : ', 999.08375030241]
['x[13, 2]', '=', 0.0, '/    Utilidad Ruta : ', 74.29036221489991]
['x[14, 2]', '=', 0.0, '/    Utilidad Ruta : ', 1669.30067714418]
['x[15, 2]', '=', 0.0, '/    Utilidad Ruta : ', 452.74236955078004]
['x[16, 2]', '=', 0.0, '/    Utilidad Ruta : ', 0.3314366240299478]
['x[17, 2]', '=', 0.0, '/    Utilidad Ruta : ', 641.6078170593801]
['x[18, 2]', '=', 0.0, '/    Utilidad Ruta : ', 600.68734889678]
['x[19, 2]', '=', 0.0, '/    Utilidad Ruta : ', 1262.0080773784903]
['x[20, 2]', '=', 0.0, '/    Utilidad Ruta : ', 1152.6019332689102]
['x[21, 2]', '=', 0.0, '/    Utilidad Ruta : ', 504.5653102878099]
['x[22, 2]', '=', 0.0, '/    Utilidad Ruta : ', 569.41149068408]
['x[23, 2]', '=', 0.0, '/    Utilidad Ruta : ', 897.6324304171801]
['x[24, 2]', '=', 0.0, '/    Utilidad Ruta : ', 1100.86002929715]
['x[25, 2]', '=', 0.0, '/    Utilidad Ruta : ', 1298.5469881398799]
['x[26, 2]', '=', 8.98136893261476e-05, '/    Utilidad Ruta : ', 1904.98067059116]
['x[27, 2]', '=', 0.0, '/    Utilidad Ruta : ', 477.34253452319]
['x[28, 2]', '=', 0.0, '/    Utilidad Ruta : ', 2634.85509851019]
['x[29, 2]', '=', -0.00023950317153645454, '/    Utilidad Ruta : ', 1650.67557298761]
['x[30, 2]', '=', 0.0, '/    Utilidad Ruta : ', 488.9603088384001]
['x[31, 2]', '=', 0.0, '/    Utilidad Ruta : ', 1104.11146618661]
['x[32, 2]', '=', 0.0, '/    Utilidad Ruta : ', 1145.3615210409898]
['x[33, 2]', '=', 0.0, '/    Utilidad Ruta : ', 819.6997024888601]
['x[34, 2]', '=', 0.0018978811926298124, '/    Utilidad Ruta : ', 1651.1814596358597]
['x[35, 2]', '=', 0.0, '/    Utilidad Ruta : ', 1598.0008045364698]
['x[36, 2]', '=', 0.0, '/    Utilidad Ruta : ', 1515.21460738847]
['x[37, 2]', '=', 0.0, '/    Utilidad Ruta : ', 655.3876409749499]
['x[38, 2]', '=', 0.0, '/    Utilidad Ruta : ', 1759.2475177889905]
['x[39, 2]', '=', 0.0, '/    Utilidad Ruta : ', 2234.1561889249097]
['x[40, 2]', '=', 0.0, '/    Utilidad Ruta : ', 2537.5177999470698]
['x[41, 2]', '=', 0.0, '/    Utilidad Ruta : ', 342.1945572142]
['x[42, 2]', '=', 0.0, '/    Utilidad Ruta : ', 1411.2186306858202]
['x[43, 2]', '=', 0.0, '/    Utilidad Ruta : ', 1364.44468373529]
['x[44, 2]', '=', 0.0, '/    Utilidad Ruta : ', 1589.59071224033]
['x[45, 2]', '=', 0.0, '/    Utilidad Ruta : ', 533.6582925139]
['x[46, 2]', '=', 0.0, '/    Utilidad Ruta : ', 1033.69063534339]
['x[47, 2]', '=', 0.0, '/    Utilidad Ruta : ', 1212.96634199855]
['x[48, 2]', '=', 0.0, '/    Utilidad Ruta : ', 1318.62264228725]
['x[49, 2]', '=', 0.0, '/    Utilidad Ruta : ', 1269.74279359015]
['x[50, 2]', '=', 0.0, '/    Utilidad Ruta : ', 1487.08883943525]
['x[51, 2]', '=', 0.0, '/    Utilidad Ruta : ', 1135.9057537132603]
['x[52, 2]', '=', 0.0, '/    Utilidad Ruta : ', 1190.56837668555]
['x[53, 2]', '=', 0.0, '/    Utilidad Ruta : ', 1480.2369830131202]
['x[54, 2]', '=', 0.0, '/    Utilidad Ruta : ', 1263.30522913519]
['x[55, 2]', '=', 0.0, '/    Utilidad Ruta : ', 2205.1411331750996]
['x[56, 2]', '=', 0.0, '/    Utilidad Ruta : ', 1304.81243279169]
['x[57, 2]', '=', 0.0, '/    Utilidad Ruta : ', 1139.77682220935]
['x[58, 2]', '=', 0.0, '/    Utilidad Ruta : ', 1683.2206073884704]
['x[59, 2]', '=', 0.9506065533110303, '/    Utilidad Ruta : ', 1106.67587298289]
['x[60, 2]', '=', 0.0, '/    Utilidad Ruta : ', 654.7881627618801]
['x[61, 2]', '=', 0.027233317461586137, '/    Utilidad Ruta : ', 1521.4080358502902]
['x[62, 2]', '=', 0.0, '/    Utilidad Ruta : ', 1997.0160969019703]
['x[63, 2]', '=', 0.0, '/    Utilidad Ruta : ', 1655.1083341665899]
['x[64, 2]', '=', 0.007715642299518485, '/    Utilidad Ruta : ', 1811.09505448357]
['x[65, 2]', '=', 0.0, '/    Utilidad Ruta : ', 2311.7991900038896]
['x[66, 2]', '=', 0.012816046803213858, '/    Utilidad Ruta : ', 1531.97938164974]
['x[67, 2]', '=', 0.0, '/    Utilidad Ruta : ', 1456.4267420640604]
['x[68, 2]', '=', 0.0, '/    Utilidad Ruta : ', 2254.0451444113896]
['x[69, 2]', '=', 0.0, '/    Utilidad Ruta : ', 1799.8120702853798]
['x[70, 2]', '=', 0.0, '/    Utilidad Ruta : ', 1526.80176616479]
['x[71, 2]', '=', 0.0, '/    Utilidad Ruta : ', 1000.4190851200501]
['x[72, 2]', '=', 0.0, '/    Utilidad Ruta : ', 1326.8175289949104]
['x[73, 2]', '=', 0.0, '/    Utilidad Ruta : ', 1473.27862993969]
['x[74, 2]', '=', 0.0, '/    Utilidad Ruta : ', 1724.35367739862]
['x[75, 2]', '=', 0.0, '/    Utilidad Ruta : ', 1864.16038857275]
['x[76, 2]', '=', -0.00011975158576822723, '/    Utilidad Ruta : ', 2408.0968317569495]
['x[77, 2]', '=', 0.0, '/    Utilidad Ruta : ', 2253.7753075417404]
['x[1, 3]', '=', 0.0, '/    Utilidad Ruta : ', 891.2137778680099]
['x[2, 3]', '=', 0.0, '/    Utilidad Ruta : ', 2740.76552218223]
['x[3, 3]', '=', 0.0, '/    Utilidad Ruta : ', -157.2403470093]
['x[4, 3]', '=', 0.0, '/    Utilidad Ruta : ', 2339.5830510966002]
['x[5, 3]', '=', 0.0, '/    Utilidad Ruta : ', 1795.3656457368802]
['x[6, 3]', '=', 0.0, '/    Utilidad Ruta : ', 1283.0377260943897]
['x[7, 3]', '=', 0.0, '/    Utilidad Ruta : ', 1764.6709741101504]
['x[8, 3]', '=', 0.0, '/    Utilidad Ruta : ', 845.8497939204801]
['x[9, 3]', '=', 0.0, '/    Utilidad Ruta : ', 206.96988920144997]
['x[10, 3]', '=', 0.0, '/    Utilidad Ruta : ', -92.19547584295]
['x[11, 3]', '=', 0.0, '/    Utilidad Ruta : ', 557.85775539561]
['x[12, 3]', '=', 0.0, '/    Utilidad Ruta : ', 1202.64518465095]
['x[13, 3]', '=', 0.0, '/    Utilidad Ruta : ', 397.59468001921005]
['x[14, 3]', '=', 0.0, '/    Utilidad Ruta : ', 844.1981883395702]
['x[15, 3]', '=', 0.0, '/    Utilidad Ruta : ', 145.68446206637998]
['x[16, 3]', '=', 0.0, '/    Utilidad Ruta : ', 269.09626201795993]
['x[17, 3]', '=', 0.0, '/    Utilidad Ruta : ', 347.46419267125]
['x[18, 3]', '=', 0.0, '/    Utilidad Ruta : ', 562.1489531414101]
['x[19, 3]', '=', 0.0, '/    Utilidad Ruta : ', -15.57771661615]
['x[20, 3]', '=', 0.0, '/    Utilidad Ruta : ', 165.02083545664993]
['x[21, 3]', '=', 0.0, '/    Utilidad Ruta : ', 569.62015755148]
['x[22, 3]', '=', 0.0, '/    Utilidad Ruta : ', 813.0842162630399]
['x[23, 3]', '=', 0.0, '/    Utilidad Ruta : ', 431.7791372273]
['x[24, 3]', '=', 0.0, '/    Utilidad Ruta : ', 98.99290270764999]
['x[25, 3]', '=', 0.0, '/    Utilidad Ruta : ', -51.39680839550002]
['x[26, 3]', '=', 0.0, '/    Utilidad Ruta : ', 55.06100861774996]
['x[27, 3]', '=', 0.0, '/    Utilidad Ruta : ', 210.46332168729998]
['x[28, 3]', '=', 0.0, '/    Utilidad Ruta : ', 108.2970620012]
['x[29, 3]', '=', 0.0, '/    Utilidad Ruta : ', 545.1587454389401]
['x[30, 3]', '=', 0.0, '/    Utilidad Ruta : ', 198.31037629902]
['x[31, 3]', '=', 0.0, '/    Utilidad Ruta : ', 605.83717571048]
['x[32, 3]', '=', 0.0, '/    Utilidad Ruta : ', 423.46172484412]
['x[33, 3]', '=', 0.0, '/    Utilidad Ruta : ', 6.756755899349969]
['x[34, 3]', '=', 0.0, '/    Utilidad Ruta : ', 586.52167046528]
