['x[1, 1]', '=', 0.0, '/    Utilidad Ruta : ', 71688.7496388761]
['x[2, 1]', '=', 0.0, '/    Utilidad Ruta : ', 155481.01266003543]
['x[3, 1]', '=', 0.0, '/    Utilidad Ruta : ', 166264.7499926057]
['x[4, 1]', '=', 0.0, '/    Utilidad Ruta : ', -27.1329086719]
['x[5, 1]', '=', 0.0, '/    Utilidad Ruta : ', 156673.98165395993]
['x[6, 1]', '=', 0.0, '/    Utilidad Ruta : ', 177024.73281030924]
['x[7, 1]', '=', 0.0, '/    Utilidad Ruta : ', 173415.06267331057]
['x[8, 1]', '=', 0.0, '/    Utilidad Ruta : ', 174662.2500396495]
['x[9, 1]', '=', 0.0, '/    Utilidad Ruta : ', 156682.51412628856]
['x[10, 1]', '=', 0.0, '/    Utilidad Ruta : ', 160208.94282668858]
['x[11, 1]', '=', 0.0, '/    Utilidad Ruta : ', 131540.27360677437]
['x[12, 1]', '=', 0.0, '/    Utilidad Ruta : ', 138637.37549457603]
['x[13, 1]', '=', 0.0, '/    Utilidad Ruta : ', 135010.13620479646]
['x[14, 1]', '=', 0.0, '/    Utilidad Ruta : ', 114724.85877878155]
['x[15, 1]', '=', 0.0, '/    Utilidad Ruta : ', 144617.4805211961]
['x[16, 1]', '=', 0.0, '/    Utilidad Ruta : ', 63242.02065462945]
['x[17, 1]', '=', 0.0, '/    Utilidad Ruta : ', 123031.07493844458]
['x[18, 1]', '=', 0.0, '/    Utilidad Ruta : ', 143512.3160438937]
['x[19, 1]', '=', 0.0, '/    Utilidad Ruta : ', 120815.48399508274]
['x[20, 1]', '=', 0.0, '/    Utilidad Ruta : ', 138753.1709953376]
['x[21, 1]', '=', 0.0, '/    Utilidad Ruta : ', 94476.08804081724]
['x[22, 1]', '=', 0.0, '/    Utilidad Ruta : ', 120794.90149379215]
['x[23, 1]', '=', 0.0, '/    Utilidad Ruta : ', 145966.48442245103]
['x[24, 1]', '=', 0.0, '/    Utilidad Ruta : ', 104097.65546447875]
['x[25, 1]', '=', 0.0, '/    Utilidad Ruta : ', 133987.10801736405]
['x[26, 1]', '=', 0.0, '/    Utilidad Ruta : ', 90932.86838388148]
['x[27, 1]', '=', 0.0, '/    Utilidad Ruta : ', 42996.7680039015]
['x[28, 1]', '=', 0.0, '/    Utilidad Ruta : ', 125566.23551610204]
['x[29, 1]', '=', 0.0, '/    Utilidad Ruta : ', 46628.61118703153]
['x[30, 1]', '=', 0.028145947133919214, '/    Utilidad Ruta : ', 111233.32514896154]
['x[31, 1]', '=', 0.0, '/    Utilidad Ruta : ', 74167.24342600002]
['x[32, 1]', '=', 0.0, '/    Utilidad Ruta : ', 125632.75540720813]
['x[33, 1]', '=', 0.0, '/    Utilidad Ruta : ', 49054.15489971115]
['x[34, 1]', '=', 0.0, '/    Utilidad Ruta : ', 108928.02791914855]
['x[35, 1]', '=', 0.0, '/    Utilidad Ruta : ', 108845.34160741101]
['x[36, 1]', '=', 0.0, '/    Utilidad Ruta : ', 67015.4115476462]
['x[37, 1]', '=', 0.0, '/    Utilidad Ruta : ', 16731.54857263123]
['x[38, 1]', '=', 0.06353059889961193, '/    Utilidad Ruta : ', 22732.35522555876]
['x[39, 1]', '=', 0.0, '/    Utilidad Ruta : ', 95771.92784089374]
['x[40, 1]', '=', 0.04587915456377704, '/    Utilidad Ruta : ', 112438.21357345462]
['x[41, 1]', '=', 0.12619203131161574, '/    Utilidad Ruta : ', 141174.7619498555]
['x[42, 1]', '=', 0.08193690569591965, '/    Utilidad Ruta : ', 131651.07874218572]
['x[43, 1]', '=', 0.0457696575427367, '/    Utilidad Ruta : ', 123294.89455814578]
['x[44, 1]', '=', 0.0, '/    Utilidad Ruta : ', 68181.43230106248]
['x[45, 1]', '=', 0.11670912557020904, '/    Utilidad Ruta : ', 13167.33625576669]
['x[46, 1]', '=', 0.09173836628446697, '/    Utilidad Ruta : ', 133994.41634627944]
['x[47, 1]', '=', 0.0, '/    Utilidad Ruta : ', 80159.87829385573]
['x[48, 1]', '=', 0.0, '/    Utilidad Ruta : ', 39469.82078189085]
['x[49, 1]', '=', 0.28619878185530495, '/    Utilidad Ruta : ', 143618.83835582467]
['x[50, 1]', '=', 0.11389943114243889, '/    Utilidad Ruta : ', 114828.13399735549]
['x[1, 2]', '=', 0.0, '/    Utilidad Ruta : ', 66956.69856196616]
['x[2, 2]', '=', 0.0, '/    Utilidad Ruta : ', 195005.89291392086]
